ir,pr,spo2,rrInterval
689437,62,100,95
689464,62,100,95
689432,62,100,95
689440,62,100,95
689558,62,100,95
689565,62,100,95
689619,62,100,95
689767,62,100,95
689905,62,100,95
690058,62,100,95
690250,62,100,95
690467,62,100,95
690626,62,100,95
690843,62,100,95
691031,62,100,95
691221,62,100,95
691514,62,100,95
691675,62,100,95
691891,62,100,95
692157,62,100,95
692342,62,100,95
692576,62,100,95
692781,62,100,95
692991,62,100,95
693202,62,100,95
693386,62,100,95
693566,62,100,95
693766,62,100,95
693952,62,100,95
694135,62,100,95
694320,62,100,95
694550,62,100,95
694750,62,100,95
694894,62,100,95
695142,62,100,95
695350,62,100,95
695547,62,100,95
695781,62,100,95
695982,62,100,95
696209,62,100,95
696439,62,100,95
696636,62,100,95
696867,62,100,95
697063,62,100,95
697284,62,100,95
697491,62,100,95
697700,62,100,95
697925,62,100,95
698100,62,100,95
698358,62,100,95
698602,62,100,95
698807,62,100,95
699002,62,100,95
699262,62,100,95
699470,62,100,95
699613,62,100,95
699904,62,100,95
700179,62,100,95
700404,62,100,95
700656,62,100,95
700898,62,100,95
701096,62,100,95
701151,62,100,95
701105,62,100,95
700816,62,100,95
700152,62,100,95
699133,62,100,95
697857,62,100,95
696424,62,100,95
694954,62,100,95
693685,62,100,95
692653,62,100,95
691796,62,100,95
691241,62,100,95
690907,62,100,95
690724,62,100,95
690751,62,100,95
690769,62,100,95
690859,62,100,95
690995,62,100,95
691100,62,100,95
691196,62,100,95
691203,62,100,95
691246,62,100,95
691241,62,100,95
691184,62,100,95
691125,62,100,95
691073,62,100,95
691112,62,100,95
691194,62,100,95
691286,61,100,101
691426,61,100,101
691589,61,100,101
691758,61,100,101
691893,61,100,101
691992,61,100,101
692109,61,100,101
692086,61,100,101
692091,61,100,101
692120,61,100,101
692036,61,100,101
691995,61,100,101
691959,61,100,101
691940,61,100,101
691876,61,100,101
691917,61,100,101
691958,61,100,101
691950,61,100,101
692073,61,100,101
692213,61,100,101
692337,61,100,101
692505,61,100,101
692623,61,100,101
692781,61,100,101
692944,61,100,101
693099,61,100,101
693307,61,100,101
693482,61,100,101
693716,61,100,101
693952,61,100,101
694159,61,100,101
694377,61,100,101
694544,61,100,101
694703,61,100,101
694896,61,100,101
695086,61,100,101
695245,61,100,101
695420,61,100,101
695624,61,100,101
695775,61,100,101
695959,61,100,101
696096,61,100,101
696296,61,100,101
696492,61,100,101
696608,61,100,101
696828,61,100,101
697016,61,100,101
697209,61,100,101
697397,61,100,101
697534,61,100,101
697751,61,100,101
697940,61,100,101
698100,61,100,101
698255,61,100,101
698465,61,100,101
698672,61,100,101
698833,61,100,101
699094,61,100,101
699289,61,100,101
699500,61,100,101
699761,61,100,101
699986,61,100,101
700228,61,100,101
700401,61,100,101
700546,61,100,101
700581,61,100,101
700409,61,100,101
699997,61,100,101
699301,61,100,101
698284,61,100,101
696975,61,100,101
695632,61,100,101
694299,61,100,101
693112,61,100,101
692151,61,100,101
691388,61,100,101
690912,61,100,101
690606,61,100,101
690497,61,100,101
690532,61,100,101
690578,61,100,101
690711,61,100,101
690827,61,100,101
690847,61,100,101
690919,61,100,101
690914,61,100,101
690863,61,100,101
690811,61,100,101
690775,61,100,101
690727,61,100,101
690710,61,100,101
690771,61,100,101
690877,61,100,101
691029,61,100,93
691215,61,100,93
691382,61,100,93
691543,61,100,93
691769,61,100,93
691843,61,100,93
691922,61,100,93
691999,61,100,93
691976,61,100,93
691992,61,100,93
691947,61,100,93
691885,61,100,93
691871,61,100,93
691867,61,100,93
691856,61,100,93
691930,61,100,93
691998,61,100,93
692107,61,100,93
692271,61,100,93
692418,61,100,93
692654,61,100,93
692812,61,100,93
692967,61,100,93
693223,61,100,93
693411,61,100,93
693613,61,100,93
693872,61,100,93
694062,61,100,93
694272,61,100,93
694479,61,100,93
694685,61,100,93
694905,61,100,93
695071,61,100,93
695256,61,100,93
695444,61,100,93
695618,61,100,93
695746,61,100,93
695888,61,100,93
696090,61,100,93
696295,61,100,93
696448,61,100,93
696638,61,100,93
696820,61,100,93
696985,61,100,93
697161,61,100,93
697362,61,100,93
697555,61,100,93
697787,61,100,93
697984,61,100,93
698186,61,100,93
698402,61,100,93
698569,61,100,93
698795,61,100,93
699020,61,100,93
699220,61,100,93
699410,61,100,93
699643,61,100,93
699842,61,100,93
700053,61,100,93
700286,61,100,93
700505,61,100,93
700709,61,100,93
700960,61,100,93
701201,61,100,93
701381,61,100,93
701649,61,100,93
701897,61,100,93
702088,61,100,93
702319,61,100,93
702528,61,100,93
702666,61,100,93
702610,61,100,93
702376,61,100,93
701854,61,100,93
700961,61,100,93
699798,61,100,93
698327,61,100,93
696818,61,100,93
695423,61,100,93
694163,61,100,93
693237,61,100,93
692538,61,100,93
692040,61,100,93
691853,61,100,93
691759,61,100,93
691748,61,100,93
691873,61,100,93
691997,61,100,93
692113,61,100,93
692152,61,100,93
692183,61,100,93
692162,61,100,93
692071,61,100,93
692010,61,100,93
691881,61,100,93
691772,61,100,93
691710,61,100,93
691656,61,100,93
691695,61,100,93
691794,61,100,99
691904,61,100,99
692134,61,100,99
692356,61,100,99
692523,61,100,99
692731,61,100,99
692819,61,100,99
692898,61,100,99
692958,61,100,99
692986,61,100,99
692983,61,100,99
692949,61,100,99
692982,61,100,99
692964,61,100,99
692967,61,100,99
692998,61,100,99
693027,61,100,99
693140,61,100,99
693255,61,100,99
693346,61,100,99
693556,61,100,99
693718,61,100,99
693874,61,100,99
694083,61,100,99
694271,61,100,99
694492,61,100,99
694714,61,100,99
694932,61,100,99
695143,61,100,99
695367,61,100,99
695577,61,100,99
695793,61,100,99
695966,61,100,99
696148,61,100,99
696370,61,100,99
696559,61,100,99
696728,61,100,99
696895,61,100,99
697079,61,100,99
697250,61,100,99
697391,61,100,99
697574,61,100,99
697753,61,100,99
697946,61,100,99
698167,61,100,99
698284,61,100,99
698487,61,100,99
698715,61,100,99
698853,61,100,99
699107,61,100,99
699280,61,100,99
699460,61,100,99
699714,61,100,99
699887,61,100,99
700052,61,100,99
700277,61,100,99
700493,61,100,99
700642,61,100,99
700847,61,100,99
701065,61,100,99
701286,61,100,99
701446,61,100,99
701648,61,100,99
701878,61,100,99
702065,61,100,99
702246,61,100,99
702475,61,100,99
702706,61,100,99
702888,61,100,99
703077,61,100,99
703301,61,100,99
703484,61,100,99
703569,61,100,99
703558,61,100,99
703352,61,100,99
702838,61,100,99
702027,61,100,99
700922,61,100,99
699496,61,100,99
698078,61,100,99
696753,61,100,99
695630,61,100,99
694803,61,100,99
694114,61,100,99
693725,61,100,99
693511,61,100,99
693430,61,100,99
693477,61,100,99
693548,61,100,99
693678,61,100,99
693843,61,100,99
693968,61,100,99
693992,61,100,99
694008,61,100,99
694003,61,100,99
693993,61,100,99
693938,61,100,99
693927,61,100,99
693987,61,100,99
694054,61,100,99
694218,61,100,99
694372,61,100,101
694596,61,100,101
694794,61,100,101
694925,61,100,101
695041,61,100,101
695072,61,100,101
695139,61,100,101
695115,61,100,101
695094,61,100,101
695089,61,100,101
695004,61,100,101
695013,61,100,101
694989,61,100,101
694949,61,100,101
695018,61,100,101
695069,61,100,101
695181,61,100,101
695333,61,100,101
695524,61,100,101
695773,61,100,101
695937,61,100,101
696137,61,100,101
696387,61,100,101
696552,61,100,101
696801,61,100,101
697080,61,100,101
697266,61,100,101
697492,61,100,101
697737,61,100,101
697954,61,100,101
698104,61,100,101
698319,61,100,101
698537,61,100,101
698655,61,100,101
698823,61,100,101
699015,61,100,101
699152,61,100,101
699298,61,100,101
699462,61,100,101
699660,61,100,101
699850,61,100,101
699994,61,100,101
700175,61,100,101
700342,61,100,101
700525,61,100,101
700714,61,100,101
700898,61,100,101
701106,61,100,101
701353,61,100,101
701556,61,100,101
701755,61,100,101
701986,61,100,101
702201,61,100,101
702372,61,100,101
702554,61,100,101
702841,61,100,101
702965,61,100,101
703126,61,100,101
703413,61,100,101
703568,61,100,101
703713,61,100,101
703942,61,100,101
704146,61,100,101
704335,61,100,101
704569,61,100,101
704800,61,100,101
705030,61,100,101
705287,61,100,101
705519,61,100,101
705680,61,100,101
705744,61,100,101
705687,61,100,101
705411,61,100,101
704783,61,100,101
703858,61,100,101
702533,61,100,101
700950,61,100,101
699456,61,100,101
698022,61,100,101
696792,61,100,101
695886,61,100,101
695227,61,100,101
694798,61,100,101
694541,61,100,101
694544,61,100,101
694638,61,100,101
694694,61,100,101
694813,61,100,101
694925,61,100,101
694994,61,100,101
695021,61,100,101
694977,61,100,101
694930,61,100,101
694826,61,100,101
694698,61,100,101
694611,61,100,101
694526,61,100,101
694469,61,100,101
694548,61,100,98
694662,61,100,98
694818,61,100,98
695020,61,100,98
695245,61,100,98
695461,61,100,98
695611,61,100,98
695785,61,100,98
695896,61,100,98
695952,61,100,98
696008,61,100,98
696056,61,100,98
696069,61,100,98
696081,61,100,98
696101,61,100,98
696129,61,100,98
696175,61,100,98
696238,61,100,98
696362,61,100,98
696466,61,100,98
696614,61,100,98
696768,61,100,98
696931,61,100,98
697136,61,100,98
697352,61,100,98
697611,61,100,98
697818,61,100,98
698049,61,100,98
698289,61,100,98
698469,61,100,98
698675,61,100,98
698946,61,100,98
699164,61,100,98
699358,61,100,98
699618,61,100,98
699819,61,100,98
699969,61,100,98
700136,61,100,98
700271,61,100,98
700437,61,100,98
700665,61,100,98
700841,61,100,98
701028,61,100,98
701248,61,100,98
701432,61,100,98
701602,61,100,98
701776,61,100,98
701907,61,100,98
702109,61,100,98
702315,61,100,98
702515,61,100,98
702777,61,100,98
703000,61,100,98
703239,61,100,98
703452,61,100,98
703650,61,100,98
703840,61,100,98
704026,61,100,98
704261,61,100,98
704452,61,100,98
704656,61,100,98
704902,61,100,98
705133,61,100,98
705338,61,100,98
705563,61,100,98
705842,61,100,98
706074,61,100,98
706276,61,100,98
706512,61,100,98
706722,61,100,98
706900,61,100,98
707123,61,100,98
707360,61,100,98
707581,61,100,98
707811,61,100,98
708069,61,100,98
708315,61,100,98
708553,61,100,98
708790,61,100,98
708980,61,100,98
709107,61,100,98
709004,61,100,98
708682,61,100,98
708005,61,100,98
706975,61,100,98
705630,61,100,98
704103,61,100,98
702627,61,100,98
701295,61,100,98
700162,61,100,98
699305,61,100,98
698747,61,100,98
698385,61,100,98
698283,61,100,98
698262,61,100,98
698328,61,100,98
698449,61,100,98
698601,61,100,98
698721,61,100,98
698803,61,100,98
698869,61,100,98
698899,61,100,98
698943,61,100,98
698904,61,100,98
698849,61,100,98
698844,61,100,98
698879,61,100,98
698925,61,100,98
699062,61,100,108
699219,61,100,108
699424,61,100,108
699649,61,100,108
699815,61,100,108
699972,61,100,108
700080,61,100,108
700144,61,100,108
700171,61,100,108
700162,61,100,108
700143,61,100,108
700104,61,100,108
699978,61,100,108
699912,61,100,108
699929,61,100,108
699905,61,100,108
699964,61,100,108
700076,61,100,108
700224,61,100,108
700398,61,100,108
700557,61,100,108
700740,61,100,108
700904,61,100,108
701099,61,100,108
701280,61,100,108
701440,61,100,108
701680,61,100,108
701860,61,100,108
702068,61,100,108
702312,61,100,108
702482,61,100,108
702704,61,100,108
702916,61,100,108
703069,61,100,108
703276,61,100,108
703466,61,100,108
703623,61,100,108
703880,61,100,108
704052,61,100,108
704222,61,100,108
704430,61,100,108
704532,61,100,108
704755,61,100,108
704971,61,100,108
705107,61,100,108
705266,61,100,108
705449,61,100,108
705610,61,100,108
705755,61,100,108
706010,61,100,108
706215,61,100,108
706404,61,100,108
