ir,pr,spo2,rrInterval
444137,62,100,92
443490,62,100,92
443099,62,100,92
442906,62,100,92
442833,62,100,92
442820,62,100,92
442873,62,100,92
442930,62,100,92
442984,62,100,92
442980,62,100,92
442943,62,100,92
442900,62,100,92
442846,62,100,92
442801,62,100,92
442854,62,100,92
442971,62,100,92
443096,62,100,92
443270,62,100,92
443434,62,100,93
443525,62,100,93
443538,62,100,93
443527,62,100,93
443415,62,100,93
443219,62,100,93
443062,62,100,93
442870,62,100,93
442696,62,100,93
442575,62,100,93
442495,62,100,93
442428,62,100,93
442428,62,100,93
442512,62,100,93
442582,62,100,93
442756,62,100,93
442963,62,100,93
443184,62,100,93
443454,62,100,93
443716,62,100,93
443990,62,100,93
444289,62,100,93
444587,62,100,93
444870,62,100,93
445197,62,100,93
445503,62,100,93
445786,62,100,93
446080,62,100,93
446372,62,100,93
446656,62,100,93
446936,62,100,93
447216,62,100,93
447516,62,100,93
447781,62,100,93
448034,62,100,93
448311,62,100,93
448564,62,100,93
448781,62,100,93
449023,62,100,93
449297,62,100,93
449541,62,100,93
449781,62,100,93
450021,62,100,93
450281,62,100,93
450516,62,100,93
450780,62,100,93
451041,62,100,93
451262,62,100,93
451560,62,100,93
451798,62,100,93
452082,62,100,93
452403,62,100,93
452676,62,100,93
452974,62,100,93
453280,62,100,93
453559,62,100,93
453866,62,100,93
454197,62,100,93
454512,62,100,93
454866,62,100,93
455202,62,100,93
455500,62,100,93
455700,62,100,93
455724,62,100,93
455504,62,100,93
454883,62,100,93
453800,62,100,93
452371,62,100,93
450661,62,100,93
448889,62,100,93
447254,62,100,93
445793,62,100,93
444543,62,100,93
443553,62,100,93
442864,62,100,93
442355,62,100,93
442029,62,100,93
441904,62,100,93
441848,62,100,93
441844,62,100,93
441914,62,100,93
441943,62,100,93
441952,62,100,93
441938,62,100,93
441892,62,100,93
441846,62,100,93
441810,62,100,93
441808,62,100,93
441852,62,100,93
441987,62,100,93
442162,62,100,93
442320,63,99,91
442475,63,99,91
442574,63,99,91
442605,63,99,91
442571,63,99,91
442503,63,99,91
442405,63,99,91
442242,63,99,91
442096,63,99,91
441981,63,99,91
441826,63,99,91
441761,63,99,91
441770,63,99,91
441787,63,99,91
441864,63,99,91
441998,63,99,91
442189,63,99,91
442379,63,99,91
442609,63,99,91
442894,63,99,91
443126,63,99,91
443427,63,99,91
443738,63,99,91
444015,63,99,91
444308,63,99,91
444640,63,99,91
444952,63,99,91
445245,63,99,91
445557,63,99,91
445855,63,99,91
446152,63,99,91
446447,63,99,91
446717,63,99,91
446977,63,99,91
447277,63,99,91
447542,63,99,91
447823,63,99,91
448097,63,99,91
448339,63,99,91
448598,63,99,91
448847,63,99,91
449114,63,99,91
449356,63,99,91
449639,63,99,91
449894,63,99,91
450166,63,99,91
450443,63,99,91
450702,63,99,91
450971,63,99,91
451225,63,99,91
451525,63,99,91
451798,63,99,91
452094,63,99,91
452399,63,99,91
452708,63,99,91
453015,63,99,91
453351,63,99,91
453685,63,99,91
454030,63,99,91
454371,63,99,91
454712,63,99,91
455054,63,99,91
455385,63,99,91
455583,63,99,91
455643,63,99,91
455397,63,99,91
454852,63,99,91
453889,63,99,91
452461,63,99,91
450834,63,99,91
449153,63,99,91
447577,63,99,91
446136,63,99,91
445002,63,99,91
444075,63,99,91
443369,63,99,91
442919,63,99,91
442638,63,99,91
442525,63,99,91
442517,63,99,91
442576,63,99,91
442619,63,99,91
442693,63,99,91
442760,63,99,91
442795,63,99,91
442760,63,99,91
442732,63,99,91
442756,63,99,91
442801,63,99,91
442890,63,99,91
443064,63,99,91
443303,63,99,91
443529,63,99,92
443722,63,99,92
443880,63,99,92
443915,63,99,92
443924,63,99,92
443857,63,99,92
443753,63,99,92
443630,63,99,92
443494,63,99,92
443378,63,99,92
443323,63,99,92
443267,63,99,92
443294,63,99,92
443358,63,99,92
443443,63,99,92
443637,63,99,92
443874,63,99,92
444093,63,99,92
444372,63,99,92
444714,63,99,92
445008,63,99,92
445276,63,99,92
445592,63,99,92
445942,63,99,92
446225,63,99,92
446535,63,99,92
446854,63,99,92
447175,63,99,92
447516,63,99,92
447809,63,99,92
448128,63,99,92
448479,63,99,92
448753,63,99,92
449053,63,99,92
449392,63,99,92
449622,63,99,92
449931,63,99,92
450195,63,99,92
450465,63,99,92
450785,63,99,92
451053,63,99,92
451352,63,99,92
451616,63,99,92
451896,63,99,92
452221,63,99,92
452496,63,99,92
452776,63,99,92
453074,63,99,92
