ir,pr,spo2,rrInterval
369185,75,97,73
369374,75,97,73
369559,75,97,73
369736,75,97,73
369901,75,97,73
370047,75,97,73
370194,75,97,73
370355,75,97,73
370487,75,97,73
370613,75,97,73
370738,75,97,73
370864,75,97,73
370997,75,97,73
371095,75,97,73
371221,75,97,73
371351,75,97,73
371476,75,97,73
371631,75,97,73
371793,75,97,73
371966,75,97,73
372146,75,97,73
372229,75,97,73
372142,75,97,73
371858,75,97,73
371303,75,97,73
370422,75,97,73
369255,75,97,73
368001,75,97,73
366822,75,97,73
365735,75,97,73
364875,75,97,73
364258,75,97,73
363872,75,97,73
363689,75,97,73
363689,75,97,73
363853,75,97,73
364067,75,97,73
364349,75,97,73
364641,75,97,73
364921,75,97,73
365180,75,97,73
365387,75,97,73
365583,75,97,73
365744,75,97,73
365933,75,97,73
366090,75,97,73
366210,75,97,73
366334,76,98,74
366362,76,98,74
366273,76,98,74
366093,76,98,74
365846,76,98,74
365541,76,98,74
365187,76,98,74
364866,76,98,74
364568,76,98,74
364294,76,98,74
364127,76,98,74
364013,76,98,74
363948,76,98,74
363980,76,98,74
364077,76,98,74
364199,76,98,74
364365,76,98,74
364549,76,98,74
364734,76,98,74
364948,76,98,74
365167,76,98,74
365365,76,98,74
365568,76,98,74
365761,76,98,74
365941,76,98,74
366138,76,98,74
366318,76,98,74
366488,76,98,74
366672,76,98,74
366841,76,98,74
367007,76,98,74
367166,76,98,74
367313,76,98,74
367462,76,98,74
367591,76,98,74
367714,76,98,74
367868,76,98,74
367966,76,98,74
368096,76,98,74
368214,76,98,74
368320,76,98,74
368436,76,98,74
368549,76,98,74
368661,76,98,74
368808,76,98,74
368984,76,98,74
369161,76,98,74
369354,76,98,74
369475,76,98,74
369476,76,98,74
369266,76,98,74
368785,76,98,74
367993,76,98,74
366896,76,98,74
365626,76,98,74
364339,76,98,74
363170,76,98,74
362181,76,98,74
361421,76,98,74
360899,76,98,74
360614,76,98,74
360552,76,98,74
360650,76,98,74
360847,76,98,74
361102,76,98,74
361405,76,98,74
361715,76,98,74
361959,76,98,74
362202,76,98,74
362413,76,98,74
362578,76,98,74
362746,76,98,74
362889,76,98,74
363000,76,98,74
363120,76,98,74
363126,77,98,75
363058,77,98,75
362926,77,98,75
362691,77,98,75
362411,77,98,75
362093,77,98,75
361758,77,98,75
361459,77,98,75
361190,77,98,75
361009,77,98,75
360885,77,98,75
360827,77,98,75
360874,77,98,75
360946,77,98,75
361094,77,98,75
361301,77,98,75
361494,77,98,75
361736,77,98,75
361989,77,98,75
362223,77,98,75
362439,77,98,75
362683,77,98,75
362922,77,98,75
363102,77,98,75
363338,77,98,75
363545,77,98,75
363729,77,98,75
363936,77,98,75
364107,77,98,75
364267,77,98,75
364471,77,98,75
364640,77,98,75
364798,77,98,75
364954,77,98,75
365107,77,98,75
365275,77,98,75
365385,77,98,75
365526,77,98,75
365666,77,98,75
365793,77,98,75
365935,77,98,75
366096,77,98,75
366242,77,98,75
366412,77,98,75
366591,77,98,75
366791,77,98,75
367024,77,98,75
367212,77,98,75
367347,77,98,75
367402,77,98,75
367261,77,98,75
366851,77,98,75
366147,77,98,75
365116,77,98,75
363843,77,98,75
362554,77,98,75
361296,77,98,75
360226,77,98,75
359393,77,98,75
358762,77,98,75
358410,77,98,75
358287,77,98,75
358322,77,98,75
358502,77,98,75
358763,77,98,75
359059,77,98,75
359352,77,98,75
359641,77,98,75
359901,77,98,75
360109,77,98,75
360312,77,98,75
360493,77,98,75
360650,77,98,75
360806,77,98,75
360958,77,98,75
361026,78,98,75
360997,78,98,75
360882,78,98,75
360656,78,98,75
360383,78,98,75
360070,78,98,75
359733,78,98,75
359437,78,98,75
359196,78,98,75
358980,78,98,75
358855,78,98,75
358807,78,98,75
358814,78,98,75
358902,78,98,75
359033,78,98,75
359213,78,98,75
359432,78,98,75
359685,78,98,75
359930,78,98,75
360193,78,98,75
360449,78,98,75
360686,78,98,75
360929,78,98,75
361160,78,98,75
361385,78,98,75
361583,78,98,75
361791,78,98,75
361992,78,98,75
362185,78,98,75
362377,78,98,75
362569,78,98,75
362756,78,98,75
362938,78,98,75
363106,78,98,75
363266,78,98,75
363448,78,98,75
363610,78,98,75
363764,78,98,75
363915,78,98,75
364060,78,98,75
364210,78,98,75
364349,78,98,75
364505,78,98,75
364655,78,98,75
364817,78,98,75
365005,78,98,75
365192,78,98,75
365424,78,98,75
365640,78,98,75
365790,78,98,75
365793,78,98,75
365565,78,98,75
365059,78,98,75
364220,78,98,75
363082,78,98,75
361783,78,98,75
360487,78,98,75
359288,78,98,75
358309,78,98,75
357560,78,98,75
357052,78,98,75
356802,78,98,75
356777,78,98,75
356914,78,98,75
357120,78,98,75
357407,78,98,75
357748,78,98,75
358044,78,98,75
358327,78,98,75
358593,78,98,75
358782,78,98,75
358951,78,98,75
359104,78,98,75
359212,78,98,75
359317,78,98,75
359393,78,99,75
359411,78,99,75
359323,78,99,75
359105,78,99,75
358847,78,99,75
358532,78,99,75
358192,78,99,75
357872,78,99,75
357560,78,99,75
357348,78,99,75
357197,78,99,75
357086,78,99,75
357073,78,99,75
357123,78,99,75
357253,78,99,75
357408,78,99,75
357627,78,99,75
357869,78,99,75
358100,78,99,75
358377,78,99,75
358646,78,99,75
358913,78,99,75
359201,78,99,75
359467,78,99,75
359697,78,99,75
359940,78,99,75
360169,78,99,75
360373,78,99,75
360585,78,99,75
360792,78,99,75
361001,78,99,75
361182,78,99,75
361355,78,99,75
361567,78,99,75
361741,78,99,75
361893,78,99,75
362050,78,99,75
362188,78,99,75
362360,78,99,75
362522,78,99,75
362661,78,99,75
362815,78,99,75
362972,78,99,75
363114,78,99,75
363273,78,99,75
363456,78,99,75
363656,78,99,75
363865,78,99,75
364077,78,99,75
364248,78,99,75
364309,78,99,75
364165,78,99,75
363792,78,99,75
363080,78,99,75
362045,78,99,75
360827,78,99,75
359510,78,99,75
358267,78,99,75
357196,78,99,75
356306,78,99,75
355706,78,99,75
355337,78,99,75
355161,78,99,75
355220,78,99,75
355385,78,99,75
355619,78,99,75
355929,78,99,75
356231,78,99,75
356524,78,99,75
356783,78,99,75
357007,78,99,75
357219,78,99,75
357393,78,99,75
357558,78,99,75
357703,78,99,75
357820,78,99,75
357873,79,99,76
357818,79,99,76
357701,79,99,76
357479,79,99,76
357183,79,99,76
356878,79,99,76
356535,79,99,76
356219,79,99,76
355978,79,99,76
355763,79,99,76
355615,79,99,76
355586,79,99,76
355623,79,99,76
355716,79,99,76
355883,79,99,76
356083,79,99,76
356304,79,99,76
356563,79,99,76
356835,79,99,76
357107,79,99,76
357393,79,99,76
357661,79,99,76
357933,79,99,76
358193,79,99,76
358442,79,99,76
358669,79,99,76
358880,79,99,76
359092,79,99,76
359300,79,99,76
359479,79,99,76
359666,79,99,76
359852,79,99,76
360010,79,99,76
360199,79,99,76
360383,79,99,76
360533,79,99,76
360719,79,99,76
360858,79,99,76
361000,79,99,76
361171,79,99,76
361323,79,99,76
361462,79,99,76
361616,79,99,76
361802,79,99,76
362018,79,99,76
362218,79,99,76
362426,79,99,76
362642,79,99,76
362749,79,99,76
362695,79,99,76
362417,79,99,76
361814,79,99,76
360916,79,99,76
359750,79,99,76
358419,79,99,76
357112,79,99,76
355935,79,99,76
354966,79,99,76
354233,79,99,76
353730,79,99,76
353507,79,99,76
353476,79,99,76
353599,79,99,76
353834,79,99,76
354118,79,99,76
354409,79,99,76
354689,79,99,76
354945,79,99,76
355182,79,99,76
355401,79,99,76
355613,79,99,76
355804,79,99,76
355975,79,99,76
356127,79,99,76
356219,79,99,74
356224,79,99,74
356136,79,99,74
355952,79,99,74
355694,79,99,74
355419,79,99,74
355117,79,99,74
354812,79,99,74
354558,79,99,74
354350,79,99,74
354235,79,99,74
354183,79,99,74
354228,79,99,74
354337,79,99,74
354499,79,99,74
354718,79,99,74
354923,79,99,74
355215,79,99,74
355484,79,99,74
355729,79,99,74
356023,79,99,74
356286,79,99,74
356541,79,99,74
356787,79,99,74
357024,79,99,74
357251,79,99,74
357476,79,99,74
357703,79,99,74
357894,79,99,74
358121,79,99,74
358331,79,99,74
358508,79,99,74
358703,79,99,74
358875,79,99,74
359034,79,99,74
359186,79,99,74
359345,79,99,74
359499,79,99,74
359659,79,99,74
359824,79,99,74
359985,79,99,74
360166,79,99,74
360338,79,99,74
360510,79,99,74
360721,79,99,74
360940,79,99,74
361171,79,99,74
361384,79,99,74
361521,79,99,74
361527,79,99,74
361282,79,99,74
360756,79,99,74
359924,79,99,74
358762,79,99,74
357462,79,99,74
356168,79,99,74
354972,79,99,74
353975,79,99,74
353210,79,99,74
352697,79,99,74
352464,79,99,74
352417,79,99,74
352536,79,99,74
352808,79,99,74
353115,79,99,74
353435,79,99,74
353778,79,99,74
354056,79,99,74
354304,79,99,74
354517,79,99,74
354714,79,99,74
354900,79,99,74
355068,79,99,74
355246,79,99,74
355341,79,99,74
355363,79,99,74
355317,79,99,74
355141,79,99,74
354904,79,99,74
354618,79,99,74
354313,79,99,74
354010,79,99,74
353736,79,99,74
353548,79,99,74
353397,79,99,74
353351,79,99,74
353386,79,99,74
353465,79,99,74
353630,79,99,74
353847,79,99,74
354077,79,99,74
354376,79,99,74
354657,79,99,74
354947,79,99,74
355241,79,99,74
355514,79,99,74
355789,79,99,74
356027,79,99,74
356290,79,99,74
356555,79,99,74
356774,79,99,74
357001,79,99,74
357223,79,99,74
357439,79,99,74
357660,79,99,74
357848,79,99,74
358053,79,99,74
358261,79,99,74
358440,79,99,74
358620,79,99,74
358800,79,99,74
358969,79,99,74
359128,79,99,74
359315,79,99,74
359492,79,99,74
359646,79,99,74
359810,79,99,74
359995,79,99,74
360189,79,99,74
360392,79,99,74
360608,79,99,74
360886,79,99,74
361122,79,99,74
361250,79,99,74
361250,79,99,74
361017,79,99,74
360483,79,99,74
359629,79,99,74
358452,79,99,74
357126,79,99,74
355850,79,99,74
354654,79,99,74
353653,79,99,74
352927,79,99,74
352455,79,99,74
352220,79,99,74
352217,79,99,74
352347,79,99,74
352599,79,99,74
352931,79,99,74
353262,79,99,74
353600,79,99,74
353890,79,99,74
354161,79,99,74
354413,79,99,74
354627,79,99,74
354818,79,99,74
355009,79,99,74
355179,79,99,74
355296,80,99,75
355308,80,99,75
355243,80,99,75
355073,80,99,75
354822,80,99,75
354531,80,99,75
354216,80,99,75
353921,80,99,75
353664,80,99,75
353461,80,99,75
353356,80,99,75
353311,80,99,75
353340,80,99,75
353461,80,99,75
353622,80,99,75
353827,80,99,75
354090,80,99,75
354365,80,99,75
354664,80,99,75
354980,80,99,75
355271,80,99,75
355552,80,99,75
355841,80,99,75
356088,80,99,75
356351,80,99,75
356621,80,99,75
356846,80,99,75
357091,80,99,75
357317,80,99,75
357523,80,99,75
357726,80,99,75
357918,80,99,75
358129,80,99,75
358320,80,99,75
358487,80,99,75
358674,80,99,75
358831,80,99,75
358997,80,99,75
359167,80,99,75
359321,80,99,75
359495,80,99,75
359658,80,99,75
359842,80,99,75
360002,80,99,75
360209,80,99,75
360437,80,99,75
360654,80,99,75
360898,80,99,75
361090,80,99,75
361142,80,99,75
361006,80,99,75
360618,80,99,75
359872,80,99,75
358807,80,99,75
357558,80,99,75
356207,80,99,75
354958,80,99,75
353866,80,99,75
353007,80,99,75
352404,80,99,75
352048,80,99,75
351949,80,99,75
352022,80,99,75
352216,80,99,75
352494,80,99,75
352831,80,99,75
353184,80,99,75
353469,80,99,75
353749,80,99,75
354005,80,99,75
354223,80,99,75
354421,80,99,75
354613,80,99,75
354799,80,99,75
354946,80,99,75
355007,80,99,75
354973,80,99,75
354812,80,99,75
354580,80,99,75
354316,80,99,75
353981,80,99,75
353677,80,99,75
353414,80,99,75
353187,80,99,75
353008,80,99,75
352931,80,99,75
352937,80,99,75
352992,80,99,75
353132,80,99,75
353332,80,99,75
353555,80,99,75
353816,80,99,75
354103,80,99,75
354375,80,99,75
354681,80,99,75
354975,80,99,75
355232,80,99,75
355523,80,99,75
355812,80,99,75
356050,80,99,75
356319,80,99,75
356559,80,99,75
356772,80,99,75
357002,80,99,75
357225,80,99,75
357425,80,99,75
357626,80,99,75
357839,80,99,75
358012,80,99,75
358175,80,99,75
358340,80,99,75
358509,80,99,75
358666,80,99,75
358818,80,99,75
358984,80,99,75
359121,80,99,75
359295,80,99,75
359501,80,99,75
359680,80,99,75
359903,80,99,75
360158,80,99,75
360338,80,99,75
360403,80,99,75
360271,80,99,75
359868,80,99,75
359174,80,99,75
358133,80,99,75
356851,80,99,75
355519,80,99,75
354239,80,99,75
353090,80,99,75
352204,80,99,75
351563,80,99,75
351143,80,99,75
351013,80,99,75
351044,80,99,75
351207,80,99,75
351479,80,99,75
351749,80,99,75
352017,80,99,75
352296,80,99,75
352504,80,99,75
352697,80,99,75
352876,80,99,75
353044,80,99,75
353211,80,99,75
353350,80,99,75
353473,80,99,75
353532,80,99,73
353511,80,99,73
353379,80,99,73
353153,80,99,73
352872,80,99,73
352548,80,99,73
352215,80,99,73
351915,80,99,73
351641,80,99,73
351450,80,99,73
351357,80,99,73
351304,80,99,73
351358,80,99,73
351488,80,99,73
351652,80,99,73
351871,80,99,73
352141,80,99,73
352423,80,99,73
352705,80,99,73
353023,80,99,73
353317,80,99,73
353625,80,99,73
353915,80,99,73
354189,80,99,73
354459,80,99,73
354715,80,99,73
354961,80,99,73
355179,80,99,73
355392,80,99,73
355623,80,99,73
355826,80,99,73
356010,80,99,73
356204,80,99,73
356380,80,99,73
356550,80,99,73
356737,80,99,73
356902,80,99,73
357044,80,99,73
357229,80,99,73
357416,80,99,73
357574,80,99,73
357759,80,99,73
357943,80,99,73
358168,80,99,73
358391,80,99,73
358654,80,99,73
358874,80,99,73
358964,80,99,73
358889,80,99,73
358537,80,99,73
357878,80,99,73
356855,80,99,73
355550,80,99,73
354146,80,99,73
352742,80,99,73
351508,80,99,73
350483,80,99,73
349682,80,99,73
349166,80,99,73
348917,80,99,73
348881,80,99,73
348988,80,99,73
349226,80,99,73
349536,80,99,73
349848,80,99,73
350162,80,99,73
350446,80,99,73
350706,80,99,73
350936,80,99,73
351133,80,99,73
351330,80,99,73
351507,80,99,73
351640,80,99,73
351730,80,99,73
351709,80,99,73
351552,80,99,73
351338,80,99,73
351038,80,99,73
350698,80,99,73
350387,80,99,73
350058,80,99,73
349789,80,99,73
349604,80,99,73
349491,80,99,73
349445,80,99,73
349478,80,99,73
349631,80,99,73
349804,80,99,73
350011,80,99,73
350290,80,99,73
350565,80,99,73
350870,80,99,73
351160,80,99,73
351447,80,99,73
351713,80,99,73
351989,80,99,73
352240,80,99,73
352461,80,99,73
352716,80,99,73
352936,80,99,73
353156,80,99,73
353374,80,99,73
353593,80,99,73
353809,80,99,73
354019,80,99,73
354227,80,99,73
354425,80,99,73
354627,80,99,73
354785,80,99,73
354958,80,99,73
355144,80,99,73
355312,80,99,73
355486,80,99,73
355677,80,99,73
355855,80,99,73
356053,80,99,73
356280,80,99,73
356505,80,99,73
356745,80,99,73
357014,80,99,73
357155,80,99,73
357125,80,99,73
356884,80,99,73
356343,80,99,73
355460,80,99,73
354264,80,99,73
352914,80,99,73
351586,80,99,73
350382,80,99,73
349385,80,99,73
348648,80,99,73
348188,80,99,73
347978,80,99,73
348002,80,99,73
348167,80,99,73
348444,80,99,73
348773,80,99,73
349131,80,99,73
349467,80,99,73
349755,80,99,73
350028,80,99,73
350251,80,99,73
350459,80,99,73
350661,80,99,73
350840,80,99,73
350989,80,99,73
351101,80,99,73
351143,80,99,73
351081,80,99,73
350922,80,99,73
350689,80,99,73
350443,80,99,73
350181,80,99,73
349935,80,99,73
349728,80,99,73
349597,80,99,73
349535,80,99,73
349561,80,99,73
349673,80,99,73
349839,80,99,73
350077,80,99,73
350355,80,99,73
350657,80,99,73
350987,80,99,73
351324,80,99,73
351658,80,99,73
351977,80,99,73
352280,80,99,73
352584,80,99,73
352892,80,99,73
353166,80,99,73
353427,80,99,73
353700,80,99,73
353941,80,99,73
354189,80,99,73
354433,80,99,73
354624,80,99,73
354850,80,99,73
355067,80,99,73
355257,80,99,73
355460,80,99,73
355653,80,99,73
355842,80,99,73
356018,80,99,73
356215,80,99,73
356412,80,99,73
356594,80,99,73
356799,80,99,73
357009,80,99,73
357259,80,99,73
357505,80,99,73
357745,80,99,73
357945,80,99,73
358011,80,99,73
357868,80,99,73
357463,80,99,73
356777,80,99,73
355760,80,99,73
354566,80,99,73
353350,80,99,73
352243,80,99,73
351319,80,99,73
350623,80,99,73
350185,80,99,73
349968,80,99,73
349997,80,99,73
350178,80,99,73
350458,80,99,73
350793,80,99,73
351139,80,99,73
351468,80,99,73
351766,80,99,73
352001,80,99,73
352205,80,99,73
352418,80,99,73
352571,80,99,73
352735,80,99,73
352895,80,99,73
353012,81,99,72
353072,81,99,72
353031,81,99,72
352898,81,99,72
352717,81,99,72
352475,81,99,72
352230,81,99,72
352028,81,99,72
351833,81,99,72
351727,81,99,72
351680,81,99,72
351691,81,99,72
351797,81,99,72
351971,81,99,72
352169,81,99,72
352459,81,99,72
352757,81,99,72
353047,81,99,72
353372,81,99,72
353668,81,99,72
353959,81,99,72
354256,81,99,72
354537,81,99,72
354804,81,99,72
355054,81,99,72
355290,81,99,72
355517,81,99,72
355724,81,99,72
355943,81,99,72
356142,81,99,72
356342,81,99,72
356535,81,99,72
356723,81,99,72
356892,81,99,72
357064,81,99,72
357233,81,99,72
357399,81,99,72
357574,81,99,72
357722,81,99,72
357896,81,99,72
358065,81,99,72
358245,81,99,72
358450,81,99,72
358668,81,99,72
358932,81,99,72
359162,81,99,72
359408,81,99,72
359564,81,99,72
359490,81,99,72
359223,81,99,72
358686,81,99,72
357799,81,99,72
356700,81,99,72
355505,81,99,72
354353,81,99,72
353359,81,99,72
352574,81,99,72
352062,81,99,72
351797,81,99,72
351752,81,99,72
351877,81,99,72
352120,81,99,72
352445,81,99,72
352776,81,99,72
353093,81,99,72
353386,81,99,72
353630,81,99,72
353828,81,99,72
354018,81,99,72
354157,81,99,72
354294,81,99,72
354444,81,99,72
354557,81,99,72
354617,81,99,73
354625,81,99,73
354529,81,99,73
354350,81,99,73
354122,81,99,73
353871,81,99,73
353661,81,99,73
353481,81,99,73
353351,81,99,73
353270,81,99,73
353280,81,99,73
353360,81,99,73
353500,81,99,73
353697,81,99,73
353912,81,99,73
354191,81,99,73
354484,81,99,73
354785,81,99,73
355080,81,99,73
355379,81,99,73
355660,81,99,73
355921,81,99,73
356166,81,99,73
356394,81,99,73
356631,81,99,73
356854,81,99,73
357045,81,99,73
357236,81,99,73
357433,81,99,73
357624,81,99,73
357796,81,99,73
357961,81,99,73
358131,81,99,73
358304,81,99,73
358480,81,99,73
358629,81,99,73
358788,81,99,73
358943,81,99,73
359092,81,99,73
359261,81,99,73
359443,81,99,73
359629,81,99,73
359855,81,99,73
360098,81,99,73
360347,81,99,73
360583,81,99,73
360734,81,99,73
360772,81,99,73
360588,81,99,73
360169,81,99,73
359449,81,99,73
358441,81,99,73
357297,81,99,73
356169,81,99,73
355153,81,99,73
354350,81,99,73
353789,81,99,73
353446,81,99,73
353372,81,99,73
353461,81,99,73
353663,81,99,73
353975,81,99,73
354289,81,99,73
354599,81,99,73
354891,81,99,73
355136,81,99,73
355308,81,99,73
355468,81,99,73
355617,81,99,73
355784,81,99,73
355934,81,99,73
356059,81,99,73
356151,81,99,72
356183,81,99,72
356107,81,99,72
355946,81,99,72
355758,81,99,72
355529,81,99,72
355290,81,99,72
355105,81,99,72
354970,81,99,72
354876,81,99,72
354848,81,99,72
354913,81,99,72
355023,81,99,72
355178,81,99,72
355424,81,99,72
355682,81,99,72
355919,81,99,72
356215,81,99,72
356492,81,99,72
356749,81,99,72
357018,81,99,72
357265,81,99,72
357513,81,99,72
357758,81,99,72
357977,81,99,72
358163,81,99,72
358362,81,99,72
358590,81,99,72
358761,81,99,72
358948,81,99,72
359154,81,99,72
359329,81,99,72
359498,81,99,72
359647,81,99,72
359788,81,99,72
359945,81,99,72
360093,81,99,72
360244,81,99,72
360407,81,99,72
360567,81,99,72
360724,81,99,72
360903,81,99,72
361110,81,99,72
361313,81,99,72
361521,81,99,72
361774,81,99,72
362019,81,99,72
362217,81,99,72
362350,81,99,72
362308,81,99,72
362033,81,99,72
361495,81,99,72
360651,81,99,72
359578,81,99,72
358419,81,99,72
357324,81,99,72
356413,81,99,72
355733,81,99,72
355290,81,99,72
355095,81,99,72
355083,81,99,72
355248,81,99,72
355513,81,99,72
355821,81,99,72
356154,81,99,72
356437,81,99,72
356694,81,99,72
356914,81,99,72
357092,81,99,72
357233,81,99,72
357359,81,99,72
357497,81,99,72
357623,81,99,72
357731,81,99,72
357798,81,99,74
357772,81,99,74
357677,81,99,74
357529,81,99,74
357325,81,99,74
357098,81,99,74
356883,81,99,74
356702,81,99,74
356576,81,99,74
356544,81,99,74
356554,81,99,74
356629,81,99,74
356778,81,99,74
356946,81,99,74
357179,81,99,74
357415,81,99,74
357651,81,99,74
357922,81,99,74
358186,81,99,74
358441,81,99,74
358686,81,99,74
358942,81,99,74
359170,81,99,74
359404,81,99,74
359636,81,99,74
359833,81,99,74
360051,81,99,74
360269,81,99,74
360449,81,99,74
360658,81,99,74
360833,81,99,74
361020,81,99,74
361206,81,99,74
361341,81,99,74
361497,81,99,74
361662,81,99,74
361824,81,99,74
361989,81,99,74
362145,81,99,74
362306,81,99,74
362502,81,99,74
362685,81,99,74
362874,81,99,74
363113,81,99,74
363352,81,99,74
363564,81,99,74
363842,81,99,74
364083,81,99,74
364289,81,99,74
364411,81,99,74
364343,81,99,74
364054,81,99,74
363507,81,99,74
362641,81,99,74
361524,81,99,74
360390,81,99,74
359323,81,99,74
358407,81,99,74
357749,81,99,74
357321,81,99,74
357133,81,99,74
357158,81,99,74
357342,81,99,74
357607,81,99,74
357932,81,99,74
358287,81,99,74
358593,81,99,74
358848,81,99,74
359085,81,99,74
359263,81,99,74
359410,81,99,74
359575,81,99,74
359720,81,99,74
359856,81,99,74
359996,81,99,74
360036,81,99,75
360029,81,99,75
359946,81,99,75
359767,81,99,75
359552,81,99,75
359320,81,99,75
359119,81,99,75
358955,81,99,75
358825,81,99,75
358765,81,99,75
358798,81,99,75
358875,81,99,75
359009,81,99,75
359205,81,99,75
359417,81,99,75
359688,81,99,75
359980,81,99,75
360263,81,99,75
360558,81,99,75
360829,81,99,75
361101,81,99,75
361370,81,99,75
361612,81,99,75
361872,81,99,75
362100,81,99,75
362331,81,99,75
362558,81,99,75
362768,81,99,75
362966,81,99,75
363153,81,99,75
363330,81,99,75
363494,81,99,75
363670,81,99,75
363827,81,99,75
363981,81,99,75
364151,81,99,75
364300,81,99,75
364476,81,99,75
364628,81,99,75
364780,81,99,75
364964,81,99,75
365138,81,99,75
365322,81,99,75
365504,81,99,75
365731,81,99,75
365957,81,99,75
366174,81,99,75
366446,81,99,75
366684,81,99,75
366860,81,99,75
366931,81,99,75
366792,81,99,75
366411,81,99,75
365744,81,99,75
364747,81,99,75
363546,81,99,75
362361,81,99,75
361286,81,99,75
360420,81,99,75
359794,81,99,75
359412,81,99,75
359284,81,99,75
359322,81,99,75
359502,81,99,75
359798,81,99,75
360131,81,99,75
360446,81,99,75
360775,81,99,75
361062,81,99,75
361292,81,99,75
361474,81,99,75
361619,81,99,75
361767,81,99,75
361911,81,99,75
362049,81,99,75
362183,81,99,75
362232,81,99,76
362225,81,99,76
362108,81,99,76
361936,81,99,76
361715,81,99,76
361464,81,99,76
361233,81,99,76
361053,81,99,76
360917,81,99,76
360826,81,99,76
360849,81,99,76
360912,81,99,76
361052,81,99,76
361237,81,99,76
361450,81,99,76
361715,81,99,76
361952,81,99,76
362247,81,99,76
362528,81,99,76
362798,81,99,76
363065,81,99,76
363328,81,99,76
363610,81,99,76
363824,81,99,76
364055,81,99,76
364274,81,99,76
364486,81,99,76
364686,81,99,76
364861,81,99,76
365074,81,99,76
365253,81,99,76
365420,81,99,76
365593,81,99,76
365739,81,99,76
365889,81,99,76
366037,81,99,76
366165,81,99,76
366319,81,99,76
366480,81,99,76
366632,81,99,76
366792,81,99,76
366967,81,99,76
367160,81,99,76
367351,81,99,76
367548,81,99,76
367767,81,99,76
367988,81,99,76
368206,81,99,76
368412,81,99,76
368499,81,99,76
368362,81,99,76
367996,81,99,76
367303,81,99,76
366274,81,99,76
365064,81,99,76
363838,81,99,76
362711,81,99,76
361832,81,99,76
361179,81,99,76
360760,81,99,76
360624,81,99,76
360657,81,99,76
360817,81,99,76
361098,81,99,76
361434,81,99,76
361754,81,99,76
362074,81,99,76
362348,81,99,76
362561,81,99,76
362753,81,99,76
362921,81,99,76
363062,81,99,76
363198,81,99,76
363331,81,99,76
363432,81,99,76
363496,81,99,75
363464,81,99,75
363331,81,99,75
363130,81,99,75
362897,81,99,75
362594,81,99,75
362318,81,99,75
362118,81,99,75
361930,81,99,75
361821,81,99,75
361820,81,99,75
361861,81,99,75
361957,81,99,75
362117,81,99,75
362328,81,99,75
362571,81,99,75
362821,81,99,75
363104,81,99,75
363379,81,99,75
363663,81,99,75
363914,81,99,75
364134,81,99,75
364380,81,99,75
364595,81,99,75
364795,81,99,75
365006,81,99,75
365198,81,99,75
365373,81,99,75
365560,81,99,75
365754,81,99,75
365911,81,99,75
366072,81,99,75
366263,81,99,75
366395,81,99,75
366543,81,99,75
366712,81,99,75
366835,81,99,75
366997,81,99,75
367135,81,99,75
367267,81,99,75
367416,81,99,75
367567,81,99,75
367748,81,99,75
367918,81,99,75
368114,81,99,75
368348,81,99,75
368549,81,99,75
368719,81,99,75
368812,81,99,75
368703,81,99,75
368366,81,99,75
367731,81,99,75
366744,81,99,75
365539,81,99,75
364269,81,99,75
363104,81,99,75
362130,81,99,75
361367,81,99,75
360867,81,99,75
360643,81,99,75
360609,81,99,75
360751,81,99,75
361027,81,99,75
361341,81,99,75
361676,81,99,75
362015,81,99,75
362273,81,99,75
362518,81,99,75
362736,81,99,75
362887,81,99,75
363055,81,99,75
363216,81,99,75
363335,81,99,75
363460,81,99,75
363514,81,99,74
363479,81,99,74
363386,81,99,74
363173,81,99,74
362908,81,99,74
362626,81,99,74
362328,81,99,74
362098,81,99,74
361878,81,99,74
361724,81,99,74
361687,81,99,74
361708,81,99,74
