ir,pr,spo2,rrInterval
452231,73,100,82
452130,73,100,82
451779,73,100,82
451127,73,100,82
450169,73,100,82
448967,73,100,82
447619,73,100,82
446304,73,100,82
445109,73,100,82
444110,73,100,82
443360,73,100,82
442845,73,100,82
442544,73,100,82
442426,73,100,82
442469,73,100,82
442619,73,100,82
442810,73,100,82
443041,73,100,82
443318,73,100,82
443575,73,100,82
443802,73,100,82
444042,73,100,82
444285,73,100,82
444521,73,100,82
444773,73,100,82
445054,73,100,82
445339,73,100,82
445597,73,100,81
445859,73,100,81
446041,73,100,81
446140,73,100,81
446140,73,100,81
446056,73,100,81
445892,73,100,81
445665,73,100,81
445419,73,100,81
445200,73,100,81
445013,73,100,81
444855,73,100,81
444847,73,100,81
444858,73,100,81
444942,73,100,81
445108,73,100,81
445280,73,100,81
445525,73,100,81
445769,73,100,81
446041,73,100,81
446328,73,100,81
446627,73,100,81
446946,73,100,81
447246,73,100,81
447542,73,100,81
447840,73,100,81
448101,73,100,81
448352,73,100,81
448609,73,100,81
448802,73,100,81
449020,73,100,81
449232,73,100,81
449412,73,100,81
449579,73,100,81
449727,73,100,81
449853,73,100,81
449973,73,100,81
450089,73,100,81
450185,73,100,81
450292,73,100,81
450397,73,100,81
450535,73,100,81
450670,73,100,81
450825,73,100,81
451022,73,100,81
451225,73,100,81
451428,73,100,81
451628,73,100,81
451838,73,100,81
452069,73,100,81
452251,73,100,81
452416,73,100,81
452567,73,100,81
452558,73,100,81
452339,73,100,81
451911,73,100,81
451208,73,100,81
450174,73,100,81
448898,73,100,81
447595,73,100,81
446374,73,100,81
445231,73,100,81
444376,73,100,81
443736,73,100,81
443314,73,100,81
443128,73,100,81
443062,73,100,81
443162,73,100,81
443351,73,100,81
443551,73,100,81
443778,73,100,81
444067,73,100,81
444311,73,100,81
444559,73,100,81
444863,73,100,81
445143,73,100,81
445426,73,100,81
445752,73,100,81
446074,73,100,81
446359,73,100,79
446668,73,100,79
446885,73,100,79
447025,73,100,79
447070,73,100,79
447001,73,100,79
446871,73,100,79
446610,73,100,79
446352,73,100,79
446122,73,100,79
445877,73,100,79
445727,73,100,79
445668,73,100,79
445666,73,100,79
445767,73,100,79
445897,73,100,79
446082,73,100,79
446298,73,100,79
446542,73,100,79
446839,73,100,79
447108,73,100,79
447445,73,100,79
447777,73,100,79
448055,73,100,79
448419,73,100,79
448721,73,100,79
449016,73,100,79
449334,73,100,79
449602,73,100,79
449848,73,100,79
450099,73,100,79
450327,73,100,79
450528,73,100,79
450743,73,100,79
450906,73,100,79
451077,73,100,79
451246,73,100,79
451378,73,100,79
451513,73,100,79
451647,73,100,79
451782,73,100,79
451931,73,100,79
452053,73,100,79
452207,73,100,79
452372,73,100,79
452543,73,100,79
452741,73,100,79
452957,73,100,79
453214,73,100,79
453438,73,100,79
453692,73,100,79
453950,73,100,79
454197,73,100,79
454420,73,100,79
454574,73,100,79
454638,73,100,79
454488,73,100,79
454087,73,100,79
453383,73,100,79
452291,73,100,79
450947,73,100,79
449478,73,100,79
448005,73,100,79
446706,73,100,79
445627,73,100,79
444783,73,100,79
444184,73,100,79
443831,73,100,79
443686,73,100,79
443679,73,100,79
443793,73,100,79
443977,73,100,79
444196,73,100,79
444400,73,100,79
444644,73,100,79
444902,73,100,79
445118,73,100,79
445326,73,100,79
445556,73,100,79
445788,73,100,79
446007,73,100,79
446265,73,100,79
446545,74,100,82
446794,74,100,82
446992,74,100,82
447151,74,100,82
447236,74,100,82
447217,74,100,82
447126,74,100,82
446947,74,100,82
446730,74,100,82
446524,74,100,82
446323,74,100,82
446192,74,100,82
446116,74,100,82
446118,74,100,82
446170,74,100,82
446281,74,100,82
446464,74,100,82
446638,74,100,82
446892,74,100,82
447153,74,100,82
447420,74,100,82
447714,74,100,82
447989,74,100,82
448333,74,100,82
448655,74,100,82
448929,74,100,82
449236,74,100,82
449519,74,100,82
449790,74,100,82
450045,74,100,82
450297,74,100,82
450552,74,100,82
450770,74,100,82
450947,74,100,82
451125,74,100,82
451262,74,100,82
451394,74,100,82
451542,74,100,82
451654,74,100,82
451795,74,100,82
451946,74,100,82
452091,74,100,82
452238,74,100,82
452396,74,100,82
452529,74,100,82
452674,74,100,82
452826,74,100,82
453020,74,100,82
453246,74,100,82
453463,74,100,82
453712,74,100,82
453959,74,100,82
454211,74,100,82
454452,74,100,82
454646,74,100,82
454809,74,100,82
454853,74,100,82
454674,74,100,82
454261,74,100,82
453512,74,100,82
452422,74,100,82
451097,74,100,82
449628,74,100,82
448243,74,100,82
447054,74,100,82
446050,74,100,82
445290,74,100,82
444798,74,100,82
444516,74,100,82
444429,74,100,82
444476,74,100,82
444603,74,100,82
444819,74,100,82
445059,74,100,82
445297,74,100,82
445558,74,100,82
445819,74,100,82
446073,74,100,82
