ir,pr,spo2,rrInterval
421410,61,100,96
419462,61,100,96
417458,61,100,96
415565,61,100,96
413857,61,100,96
412306,61,100,96
410996,61,100,96
410000,61,100,96
409149,61,100,96
408499,61,100,96
408065,61,100,96
407720,61,100,96
407488,61,100,96
407304,61,100,96
407151,61,100,96
407031,61,100,96
406880,61,100,96
406738,61,100,96
406576,61,100,96
406393,61,100,96
406252,61,100,96
406156,61,100,96
406087,61,100,96
406103,61,100,96
406213,61,100,96
406400,61,100,96
406624,61,100,96
406882,61,100,94
407134,61,100,94
407357,61,100,94
407556,61,100,94
407657,61,100,94
407736,61,100,94
407784,61,100,94
407755,61,100,94
407729,61,100,94
407679,61,100,94
407662,61,100,94
407673,61,100,94
407696,61,100,94
407792,61,100,94
407938,61,100,94
408111,61,100,94
408357,61,100,94
408660,61,100,94
408970,61,100,94
409325,61,100,94
409702,61,100,94
410104,61,100,94
410500,61,100,94
410877,61,100,94
411280,61,100,94
411713,61,100,94
412126,61,100,94
412515,61,100,94
412968,61,100,94
413366,61,100,94
413761,61,100,94
414153,61,100,94
414520,61,100,94
414889,61,100,94
415258,61,100,94
415636,61,100,94
415954,61,100,94
416301,61,100,94
416694,61,100,94
417001,61,100,94
417363,61,100,94
417736,61,100,94
418050,61,100,94
418378,61,100,94
418748,61,100,94
419101,61,100,94
419450,61,100,94
419820,61,100,94
420205,61,100,94
420612,61,100,94
420984,61,100,94
421405,61,100,94
421808,61,100,94
422238,61,100,94
422695,61,100,94
423119,61,100,94
423608,61,100,94
424050,61,100,94
424491,61,100,94
424925,61,100,94
425349,61,100,94
425780,61,100,94
426222,61,100,94
426669,61,100,94
427095,61,100,94
427589,61,100,94
428076,61,100,94
428550,61,100,94
429053,61,100,94
429474,61,100,94
429734,61,100,94
429652,61,100,94
429142,61,100,94
428129,61,100,94
426517,61,100,94
424485,61,100,94
422319,61,100,94
420260,61,100,94
418418,61,100,94
416761,61,100,94
415384,61,100,94
414251,61,100,94
413341,61,100,94
412696,61,100,94
412221,61,100,94
411843,61,100,94
411616,61,100,94
411457,61,100,94
411312,61,100,94
411233,61,100,94
411120,61,100,94
411008,61,100,94
410897,61,100,94
410734,61,100,94
410599,61,100,94
410485,61,100,94
410378,61,100,94
410344,61,100,94
410412,61,100,94
410569,61,100,94
410743,61,100,94
410983,61,100,101
411239,61,100,101
411405,61,100,101
411566,61,100,101
411693,61,100,101
411746,61,100,101
411748,61,100,101
411735,61,100,101
411700,61,100,101
411642,61,100,101
411600,61,100,101
411583,61,100,101
411611,61,100,101
411660,61,100,101
411761,61,100,101
411921,61,100,101
412131,61,100,101
412358,61,100,101
412639,61,100,101
412955,61,100,101
413278,61,100,101
413662,61,100,101
414051,61,100,101
414421,61,100,101
414814,61,100,101
415231,61,100,101
415630,61,100,101
416006,61,100,101
416420,61,100,101
416845,61,100,101
417243,61,100,101
417609,61,100,101
418005,61,100,101
418389,61,100,101
418748,61,100,101
419135,61,100,101
419486,61,100,101
419840,61,100,101
420185,61,100,101
