ir,resp,pr,spo2,spo2_real,rrInterval
551853,19774,66,98,98,88
552175,19771,66,98,98,88
552515,19781,66,98,98,88
552801,19774,66,98,98,88
553014,19770,66,98,98,88
553123,19780,66,98,98,88
553178,19774,66,98,98,88
553198,19769,66,98,98,88
553247,19785,66,98,98,88
553394,19779,66,98,98,88
553624,19779,66,98,98,88
553998,19783,66,98,98,88
554467,19780,67,98,98,81
554959,19781,67,98,98,81
555336,19790,67,98,98,81
555570,19784,67,98,98,81
555721,19785,67,98,98,81
555726,19791,67,98,98,81
555531,19792,67,98,98,81
555362,19788,67,98,98,81
555127,19787,67,98,98,81
554890,19791,67,98,98,81
554782,19788,67,98,98,81
554736,19796,67,98,98,81
554780,19794,67,98,98,81
555017,19790,67,98,98,81
555319,19803,67,98,98,81
555724,19795,67,98,98,81
556281,19788,67,98,98,81
556824,19796,67,98,98,81
557489,19794,67,98,98,81
558224,19795,67,98,98,81
558933,19803,67,98,98,81
559666,19800,67,98,98,81
560430,19803,67,98,98,81
561194,19803,67,98,98,81
561942,19809,67,98,98,81
562690,19812,67,98,98,81
563429,19812,67,98,98,81
564178,19821,67,98,98,81
564882,19827,67,98,98,81
565514,19825,67,98,98,81
566150,19832,67,98,98,81
566729,19834,67,98,98,81
567202,19829,67,98,98,81
567726,19823,67,98,98,81
568183,19834,67,98,98,81
568628,19822,67,98,98,81
569094,19826,67,98,98,81
569562,19838,67,98,98,81
570098,19841,67,98,98,81
570635,19840,67,98,98,81
571234,19845,67,98,98,81
571911,19849,67,98,98,81
572559,19851,67,98,98,81
573251,19854,67,98,98,81
573889,19855,67,98,98,81
574452,19856,67,98,98,81
574781,19862,67,98,98,81
574686,19859,67,98,98,81
574094,19858,67,98,98,81
572802,19865,67,98,98,81
570710,19863,67,98,98,81
568122,19864,67,98,98,81
565278,19869,67,98,98,81
562425,19867,67,98,98,81
559971,19867,67,98,98,81
557891,19877,67,98,98,81
556208,19873,67,98,98,81
555071,19866,67,98,98,81
554355,19877,67,98,98,81
554023,19874,67,98,98,81
554043,19877,67,98,98,81
554311,19889,67,98,98,81
554720,19891,67,98,98,81
555239,19894,67,98,98,81
555778,19910,67,98,98,81
556318,19917,67,98,98,81
556807,19918,67,98,98,81
557229,19936,67,98,98,81
557682,19936,67,98,98,81
558158,19931,67,98,98,81
558659,19945,67,98,98,81
559261,19945,67,98,98,81
559917,19947,67,98,98,81
560534,19966,67,98,98,73
561022,19965,67,98,98,73
561376,19965,67,98,98,73
561514,19973,67,98,98,73
561397,19978,67,98,98,73
561113,19983,67,98,98,73
560706,19999,67,98,98,73
560208,20004,67,98,98,73
559761,20011,67,98,98,73
559336,20018,67,98,98,73
559051,20020,67,98,98,73
558913,20027,67,98,98,73
558930,20039,67,98,98,73
559146,20036,67,98,98,73
559444,20044,67,98,98,73
559909,20058,67,98,98,73
560513,20053,67,98,98,73
561159,20064,67,98,98,73
561908,20056,67,98,98,73
562664,20057,67,98,98,73
563434,20068,67,98,98,73
564224,20085,67,98,98,73
564980,20083,67,98,98,73
565749,20094,67,98,98,73
566477,20095,67,98,98,73
567127,20098,67,98,98,73
567792,20107,67,98,98,73
568431,20110,67,98,98,73
568986,20114,67,98,98,73
569533,20125,67,98,98,73
570061,20126,67,98,98,73
570504,20132,67,98,98,73
570943,20141,67,98,98,73
571356,20149,67,98,98,73
571789,20163,67,98,98,73
