ir,resp,pr,spo2,spo2_real,rrInterval
442728,20152,58,100,100,104
441335,20157,58,100,100,104
439861,20150,58,100,100,104
438544,20145,58,100,100,104
437488,20144,58,100,100,104
436647,20138,58,100,100,104
436044,20134,58,100,100,104
435633,20133,58,100,100,104
435435,20129,58,100,100,104
435384,20121,58,100,100,104
435328,20120,58,100,100,104
435351,20113,58,100,100,104
435389,20110,58,100,100,104
435388,20105,58,100,100,104
435362,20098,58,100,100,104
435300,20091,58,100,100,104
435217,20081,58,100,100,104
435078,20072,58,100,100,104
434926,20069,58,100,100,104
434831,20054,58,100,100,104
434699,20039,58,100,100,104
434554,20030,58,100,100,104
434475,20010,58,100,100,104
434474,20000,58,100,100,104
434525,19992,57,100,100,98
434618,19977,57,100,100,98
434768,19977,57,100,100,98
434970,19970,57,100,100,98
435166,19960,57,100,100,98
435300,19953,57,100,100,98
435426,19949,57,100,100,98
435504,19944,57,100,100,98
435530,19932,57,100,100,98
435554,19929,57,100,100,98
435515,19916,57,100,100,98
435492,19909,57,100,100,98
435497,19915,57,100,100,98
435456,19904,57,100,100,98
435465,19899,57,100,100,98
435518,19900,57,100,100,98
435564,19894,57,100,100,98
435629,19891,57,100,100,98
435736,19890,57,100,100,98
435888,19886,57,100,100,98
436004,19883,57,100,100,98
436170,19877,57,100,100,98
436363,19877,57,100,100,98
436564,19872,57,100,100,98
436770,19876,57,100,100,98
436946,19867,57,100,100,98
437151,19862,57,100,100,98
437362,19866,57,100,100,98
437574,19861,57,100,100,98
437778,19855,57,100,100,98
437994,19861,57,100,100,98
438174,19860,57,100,100,98
438349,19855,57,100,100,98
438569,19860,57,100,100,98
438781,19851,57,100,100,98
438996,19848,57,100,100,98
439187,19852,57,100,100,98
439393,19850,57,100,100,98
439613,19846,57,100,100,98
439750,19851,57,100,100,98
439898,19849,57,100,100,98
440077,19843,57,100,100,98
440232,19846,57,100,100,98
440403,19849,57,100,100,98
440638,19840,57,100,100,98
440830,19848,57,100,100,98
441017,19848,57,100,100,98
441236,19849,57,100,100,98
441425,19851,57,100,100,98
441631,19845,57,100,100,98
441839,19847,57,100,100,98
442056,19849,57,100,100,98
442310,19845,57,100,100,98
442544,19846,57,100,100,98
442745,19850,57,100,100,98
442982,19847,57,100,100,98
443211,19844,57,100,100,98
443441,19854,57,100,100,98
443697,19850,57,100,100,98
443914,19853,57,100,100,98
444151,19858,57,100,100,98
444439,19855,57,100,100,98
444683,19844,57,100,100,98
444903,19852,57,100,100,98
445127,19845,57,100,100,98
445364,19847,57,100,100,98
445582,19851,57,100,100,98
445797,19857,57,100,100,98
446059,19856,57,100,100,98
446271,19857,57,100,100,98
446498,19867,57,100,100,98
446734,19877,57,100,100,98
446982,19886,57,100,100,98
447262,19891,57,100,100,98
447509,19898,57,100,100,98
447754,19907,57,100,100,98
448007,19919,57,100,100,98
448255,19925,57,100,100,98
448493,19931,57,100,100,98
448651,19932,57,100,100,98
448698,19940,57,100,100,98
448600,19945,57,100,100,98
448219,19951,57,100,100,98
447508,19966,57,100,100,98
446480,19967,57,100,100,98
445138,19971,57,100,100,98
443766,19983,57,100,100,98
442505,19989,57,100,100,98
441436,19995,57,100,100,98
440606,20009,57,100,100,98
440013,20019,57,100,100,98
439640,20035,57,100,100,98
439411,20044,57,100,100,98
439328,20050,57,100,100,98
439347,20062,57,100,100,98
439419,20066,57,100,100,98
439491,20076,57,100,100,98
439537,20089,57,100,100,98
439542,20103,57,100,100,98
439530,20110,57,100,100,98
439495,20113,57,100,100,98
439421,20123,57,100,100,98
439335,20124,57,100,100,98
439272,20124,57,100,100,98
439188,20139,57,100,100,98
439134,20142,57,100,100,98
439133,20145,57,100,100,98
439151,20158,57,100,100,98
439235,20159,57,100,100,108
439380,20159,57,100,100,108
439523,20178,57,100,100,108
439663,20182,57,100,100,108
439801,20187,57,100,100,108
439911,20201,57,100,100,108
439959,20200,57,100,100,108
439995,20202,57,100,100,108
439984,20213,57,100,100,108
439935,20211,57,100,100,108
439894,20214,57,100,100,108
439798,20227,57,100,100,108
439762,20224,57,100,100,108
439741,20230,57,100,100,108
439710,20233,57,100,100,108
439741,20229,57,100,100,108
439804,20234,57,100,100,108
