ir,resp,pr,spo2,spo2_real,rrInterval
476891,20104,75,98,99,74
476072,20105,75,98,99,74
476149,20112,75,98,99,74
476906,20100,75,98,99,74
478024,20103,75,98,99,74
479379,20104,75,98,99,74
480787,20097,75,98,99,74
482144,20097,75,98,99,74
483402,20100,75,98,99,74
484504,20097,75,98,99,74
485441,20091,75,98,99,74
486445,20106,75,98,99,74
487498,20098,75,98,99,74
488729,20095,75,98,99,74
490296,20100,75,98,99,74
492173,20094,75,98,99,76
494308,20085,75,98,99,76
496497,20095,75,98,99,76
498591,20093,75,98,99,76
500377,20090,75,98,99,76
501636,20095,75,98,99,76
502421,20091,75,98,99,76
502772,20089,75,98,99,76
502737,20093,75,98,99,76
502508,20093,75,98,99,76
502169,20090,75,98,99,76
501816,20100,75,98,99,76
501566,20098,75,98,99,76
501438,20098,75,98,99,76
501535,20100,75,98,99,76
501889,20100,75,98,99,76
502545,20096,75,98,99,76
503373,20104,75,98,99,76
504450,20091,75,98,99,76
505782,20088,75,98,99,76
507220,20095,75,98,99,76
508830,20091,75,98,99,76
510551,20090,75,98,99,76
512304,20095,75,98,99,76
514104,20090,75,98,99,76
515972,20090,75,98,99,76
517811,20096,75,98,99,76
519631,20094,75,98,99,76
521458,20091,75,98,99,76
523229,20098,75,98,99,76
524915,20090,75,98,99,76
526506,20099,75,98,99,76
528004,20093,75,98,99,76
529371,20091,75,98,99,76
530691,20099,75,98,99,76
531917,20089,75,98,99,76
533028,20083,75,98,99,76
534133,20098,75,98,99,76
535244,20090,75,98,99,76
536312,20102,75,98,99,76
537412,20102,75,98,99,76
538597,20099,75,98,99,76
539871,20096,75,98,99,76
541172,20105,75,98,99,76
542538,20099,75,98,99,76
543817,20101,75,98,99,76
544795,20103,75,98,99,76
545016,20096,75,98,99,76
543719,20095,75,98,99,76
540559,20105,75,98,99,76
535173,20096,75,98,99,76
527240,20097,75,98,99,76
517324,20098,75,98,99,76
506956,20091,75,98,99,76
497396,20097,75,98,99,76
489200,20096,75,98,99,76
482490,20087,75,98,99,76
477365,20091,75,98,99,76
473843,20097,75,98,99,76
471687,20093,75,98,99,76
470749,20088,75,98,99,76
470705,20094,75,98,99,76
471327,20092,75,98,99,76
472331,20083,75,98,99,76
473573,20097,75,98,99,76
474862,20091,75,98,99,76
476065,20077,75,98,99,76
477213,20091,75,98,99,76
478251,20086,75,98,99,76
479165,20087,75,98,99,76
480110,20086,75,98,99,76
481185,20074,75,98,99,76
482409,20074,75,98,99,76
483939,20091,75,98,99,76
485810,20091,75,98,99,74
487924,20090,75,98,99,74
490153,20098,75,98,99,74
492315,20097,75,98,99,74
494157,20090,75,98,99,74
495531,20093,75,98,99,74
496406,20079,75,98,99,74
496818,20067,75,98,99,74
496862,20056,75,98,99,74
496658,20038,75,98,99,74
496384,20021,75,98,99,74
496123,20015,75,98,99,74
495968,19989,75,98,99,74
496053,19972,75,98,99,74
496314,19962,75,98,99,74
496817,19938,75,98,99,74
497631,19923,75,98,99,74
498631,19907,75,98,99,74
499837,19888,75,98,99,74
501265,19876,75,98,99,74
502818,19872,75,98,99,74
504541,19856,75,98,99,74
506363,19856,75,98,99,74
508249,19854,75,98,99,74
510158,19838,75,98,99,74
511990,19846,75,98,99,74
513847,19832,75,98,99,74
515614,19832,75,98,99,74
517279,19832,75,98,99,74
518888,19825,75,98,99,74
520436,19824,75,98,99,74
521889,19818,75,98,99,74
523297,19812,75,98,99,74
524712,19811,75,98,99,74
526105,19807,75,98,99,74
527485,19809,75,98,99,74
528905,19811,75,98,99,74
530398,19815,75,98,99,74
531840,19811,75,98,99,74
533192,19808,75,98,99,74
534463,19813,75,98,99,74
535260,19803,75,98,99,74
534997,19803,75,98,99,74
533212,19805,75,98,99,74
529581,19808,75,98,99,74
523715,19811,75,98,99,74
515510,19814,75,98,99,74
505940,19805,75,98,99,74
496502,19807,75,98,99,74
488018,19811,75,98,99,74
480860,19808,75,98,99,74
475228,19808,75,98,99,74
471152,19815,75,98,99,74
468524,19807,75,98,99,74
467149,19798,75,98,99,74
466748,19803,75,98,99,74
467164,19803,75,98,99,74
468020,19794,75,98,99,74
469176,19816,75,98,99,74
470478,19819,75,98,99,74
471805,19810,75,98,99,74
473078,19822,75,98,99,74
474356,19817,75,98,99,74
475385,19818,75,98,99,74
476525,19827,75,98,99,74
477707,19824,75,98,99,74
479036,19821,75,98,99,74
480644,19833,75,98,99,74
482577,19820,75,99,99,68
484800,19812,75,99,99,68
487213,19814,75,99,99,68
489567,19805,75,99,99,68
491616,19802,75,99,99,68
493181,19803,75,99,99,68
494258,19807,75,99,99,68
494732,19803,75,99,99,68
494723,19816,75,99,99,68
494450,19808,75,99,99,68
493986,19810,75,99,99,68
493472,19823,75,99,99,68
493052,19823,75,99,99,68
492771,19830,75,99,99,68
492725,19845,75,99,99,68
492980,19847,75,99,99,68
493539,19859,75,99,99,68
494311,19879,75,99,99,68
495395,19889,75,99,99,68
496641,19904,75,99,99,68
