ir,resp,pr,spo2,spo2_real,rrInterval
462964,20145,71,98,98,86
460954,20140,71,98,98,86
459621,20134,71,98,98,86
458857,20142,71,98,98,86
458648,20140,71,98,98,86
458866,20135,71,98,98,86
459417,20141,71,98,98,86
460177,20138,71,98,98,86
461118,20131,71,98,98,86
462158,20142,71,98,98,86
463177,20142,71,98,98,86
464129,20142,71,98,98,86
465051,20143,71,98,98,86
465919,20137,71,98,98,86
466751,20138,71,98,98,86
467629,20134,71,98,98,86
468568,20133,71,98,98,86
469564,20130,70,98,98,90
470536,20131,70,98,98,90
471477,20126,70,98,98,90
472316,20126,70,98,98,90
473001,20125,70,98,98,90
473521,20116,70,98,98,90
473876,20125,70,98,98,90
474106,20119,70,98,98,90
474222,20106,70,98,98,90
474277,20116,70,98,98,90
474301,20109,70,98,98,90
474325,20107,70,98,98,90
474367,20111,70,98,98,90
474440,20106,70,98,98,90
474584,20109,70,98,98,90
474810,20106,70,98,98,90
475121,20096,70,98,98,90
475546,20098,70,98,98,90
476019,20101,70,98,98,90
476603,20091,70,98,98,90
477259,20089,70,98,98,90
477989,20093,70,98,98,90
478777,20092,70,98,98,90
479568,20094,70,98,98,90
480405,20096,70,98,98,90
481264,20088,70,98,98,90
482135,20088,70,98,98,90
483001,20095,70,98,98,90
483876,20084,70,98,98,90
484748,20084,70,98,98,90
485567,20078,70,98,98,90
486397,20080,70,98,98,90
487186,20073,70,98,98,90
487913,20079,70,98,98,90
488633,20074,70,98,98,90
489296,20069,70,98,98,90
489985,20072,70,98,98,90
490618,20068,70,98,98,90
491221,20068,70,98,98,90
491836,20065,70,98,98,90
492430,20055,70,98,98,90
493037,20053,70,98,98,90
493623,20056,70,98,98,90
494170,20042,70,98,98,90
494750,20039,70,98,98,90
495310,20044,70,98,98,90
495878,20038,70,98,98,90
496431,20029,70,98,98,90
496999,20037,70,98,98,90
497565,20030,70,98,98,90
498125,20020,70,98,98,90
498686,20016,70,98,98,90
499243,20007,70,98,98,90
499800,20006,70,98,98,90
500407,19995,70,98,98,90
501024,19990,70,98,98,90
501650,19984,70,98,98,90
502320,19987,70,98,98,90
503007,19982,70,98,98,90
503716,19984,70,98,98,90
504455,19988,70,98,98,90
