ir,resp,pr,spo2,spo2_real,rrInterval
473088,19967,69,100,100,78
473345,19960,69,100,100,78
473569,19960,69,100,100,78
473771,19957,69,100,100,78
473986,19950,69,100,100,78
474208,19945,69,100,100,78
474375,19947,69,100,100,78
474534,19941,69,100,100,78
474717,19928,69,100,100,78
474865,19937,69,100,100,78
475051,19936,69,100,100,78
475232,19916,69,100,100,78
475452,19935,69,100,100,78
475715,19928,69,100,100,78
475978,19930,69,100,100,78
476239,19935,69,100,100,78
476536,19930,69,100,100,78
476818,19925,69,100,100,78
477039,19936,69,100,100,78
477191,19933,69,100,100,78
477115,19923,69,100,100,78
476656,19938,69,100,100,78
475750,19941,69,100,100,78
474294,19918,69,100,100,78
472280,19937,69,100,100,78
469922,19930,69,100,100,78
467516,19924,69,100,100,78
465367,19930,69,100,100,78
463567,19934,69,100,100,78
462140,19917,69,100,100,78
461081,19934,69,100,100,78
460386,19929,69,100,100,78
460011,19920,69,100,100,78
459887,19935,69,100,100,78
459979,19923,69,100,100,78
460188,19922,69,100,100,78
460486,19923,69,100,100,78
460870,19915,69,100,100,78
461269,19922,69,100,100,78
461669,19919,69,100,100,78
462081,19919,69,100,100,78
462462,19913,69,100,100,78
462837,19926,69,100,100,78
463206,19916,69,100,100,78
463568,19918,69,100,100,78
463938,19924,69,100,100,78
464353,19914,69,100,100,82
464767,19919,69,100,100,82
465080,19915,69,100,100,82
465352,19912,69,100,100,82
465498,19904,69,100,100,82
465469,19904,69,100,100,82
465316,19892,69,100,100,82
465023,19889,69,100,100,82
464625,19895,69,100,100,82
464180,19898,69,100,100,82
463769,19887,69,100,100,82
463379,19903,69,100,100,82
463064,19903,69,100,100,82
462901,19896,69,100,100,82
462821,19901,69,100,100,82
462881,19896,69,100,100,82
463024,19904,69,100,100,82
463234,19898,69,100,100,82
463513,19893,69,100,100,82
463781,19909,69,100,100,82
464103,19906,69,100,100,82
464474,19888,69,100,100,82
464837,19899,69,100,100,82
465190,19900,69,100,100,82
465633,19901,69,100,100,82
466037,19896,69,100,100,82
466407,19893,69,100,100,82
466829,19897,69,100,100,82
467190,19902,69,100,100,82
467563,19892,69,100,100,82
467893,19891,69,100,100,82
468208,19904,69,100,100,82
468512,19892,69,100,100,82
468789,19899,69,100,100,82
469043,19899,69,100,100,82
469276,19898,69,100,100,82
469478,19899,69,100,100,82
469632,19902,69,100,100,82
469785,19900,69,100,100,82
469924,19908,69,100,100,82
470052,19903,69,100,100,82
470132,19900,69,100,100,82
470223,19905,69,100,100,82
470358,19908,69,100,100,82
470515,19919,69,100,100,82
470671,19901,69,100,100,82
470870,19914,69,100,100,82
471077,19915,69,100,100,82
471291,19907,69,100,100,82
471506,19918,69,100,100,82
471736,19912,69,100,100,82
471998,19910,69,100,100,82
472186,19907,69,100,100,82
472293,19907,69,100,100,82
472239,19902,69,100,100,82
471876,19915,69,100,100,82
471125,19903,69,100,100,82
469949,19903,69,100,100,82
468319,19913,69,100,100,82
466428,19910,69,100,100,82
464515,19899,69,100,100,82
462703,19907,69,100,100,82
461192,19904,69,100,100,82
460023,19901,69,100,100,82
459118,19915,69,100,100,82
458542,19912,69,100,100,82
458263,19912,69,100,100,82
458206,19912,69,100,100,82
458324,19918,69,100,100,82
458568,19897,69,100,100,82
458867,19914,69,100,100,82
459193,19910,69,100,100,82
459576,19906,69,100,100,82
459943,19906,69,100,100,82
460312,19906,69,100,100,82
460690,19892,69,100,100,82
461098,19897,69,100,100,82
461513,19898,69,100,100,82
461968,19901,69,100,100,82
462465,19914,69,100,100,82
462952,19902,70,100,100,80
463415,19905,70,100,100,80
463752,19901,70,100,100,80
463924,19901,70,100,100,80
463924,19903,70,100,100,80
463779,19906,70,100,100,80
463474,19905,70,100,100,80
463053,19898,70,100,100,80
462611,19914,70,100,100,80
462167,19910,70,100,100,80
461782,19911,70,100,100,80
461492,19916,70,100,100,80
461292,19919,70,100,100,80
461211,19905,70,100,100,80
461247,19920,70,100,100,80
461341,19916,70,100,100,80
461502,19916,70,100,100,80
461770,19921,70,100,100,80
462067,19930,70,100,100,80
462405,19923,70,100,100,80
462762,19922,70,100,100,80
463134,19927,70,100,100,80
463517,19928,70,100,100,80
463887,19933,70,100,100,80
464282,19934,70,100,100,80
464676,19949,70,100,100,80
465041,19948,70,100,100,80
465424,19962,70,100,100,80
465785,19958,70,100,100,80
466065,19955,70,100,100,80
466346,19957,70,100,100,80
466619,19970,70,100,100,80
466859,19974,70,100,100,80
467081,19963,70,100,100,80
467274,19978,70,100,100,80
467454,19964,70,100,100,80
467623,19975,70,100,100,80
467742,19987,70,100,100,80
