ir,resp,pr,spo2,spo2_real,rrInterval
625576,19884,60,100,100,101
626224,19894,60,100,100,101
626935,19900,60,100,100,101
627631,19897,60,100,100,101
628367,19905,60,100,100,101
629112,19909,60,100,100,101
629865,19903,60,100,100,101
630600,19912,60,100,100,101
631351,19909,60,100,100,101
632128,19912,60,100,100,101
632943,19916,60,100,100,101
633756,19917,60,100,100,101
634565,19908,60,100,100,101
635442,19920,60,100,100,101
636283,19917,60,100,100,101
637090,19908,60,100,100,101
637913,19910,60,100,100,101
638746,19919,60,100,100,101
639497,19918,60,100,100,101
640269,19912,60,100,100,101
641042,19908,60,100,100,101
641780,19908,60,100,100,101
642509,19909,60,100,100,101
643331,19909,60,100,100,101
644174,19911,60,100,100,101
645052,19908,60,100,100,101
645956,19903,60,100,100,101
646833,19903,60,100,100,101
647566,19909,60,100,100,101
647760,19903,60,100,100,101
647167,19901,60,100,100,101
645634,19902,60,100,100,101
642957,19895,60,100,100,101
639123,19899,60,100,100,101
634689,19894,60,100,100,101
630287,19895,60,100,100,101
626315,19904,60,100,100,101
622945,19906,60,100,100,101
620101,19899,60,100,100,101
617764,19903,60,100,100,101
616034,19899,60,100,100,101
614699,19897,60,100,100,101
613748,19899,60,100,100,101
613112,19897,60,100,100,101
612679,19893,60,100,100,101
612377,19905,60,100,100,101
612157,19906,60,100,100,101
612020,19903,60,100,100,101
611842,19915,60,100,100,101
611649,19914,60,100,100,101
611464,19921,60,100,100,101
611215,19932,60,100,100,101
611049,19934,60,100,100,101
610903,19935,60,100,100,101
610876,19941,60,100,100,101
610999,19939,60,100,100,101
611287,19939,60,100,100,101
611747,19953,60,100,100,101
612303,19949,59,100,100,104
612816,19952,59,100,100,104
613269,19955,59,100,100,104
613596,19951,59,100,100,104
613805,19958,59,100,100,104
613886,19968,59,100,100,104
613817,19960,59,100,100,104
613671,19965,59,100,100,104
613433,19979,59,100,100,104
613151,19984,59,100,100,104
612925,19985,59,100,100,104
612705,19998,59,100,100,104
612564,19999,59,100,100,104
612580,19998,59,100,100,104
612685,20021,59,100,100,104
612940,20024,59,100,100,104
613309,20021,59,100,100,104
613755,20034,59,100,100,104
614303,20041,59,100,100,104
614858,20039,59,100,100,104
615428,20058,59,100,100,104
616058,20061,59,100,100,104
616733,20067,59,100,100,104
617409,20080,59,100,100,104
618137,20085,59,100,100,104
618824,20094,59,100,100,104
619564,20116,59,100,100,104
620296,20129,59,100,100,104
621014,20146,59,100,100,104
621733,20162,59,100,100,104
622441,20174,59,100,100,104
623150,20188,59,100,100,104
623792,20204,59,100,100,104
624427,20207,59,100,100,104
625036,20215,59,100,100,104
625636,20233,59,100,100,104
626231,20236,59,100,100,104
626838,20247,59,100,100,104
627419,20258,59,100,100,104
627973,20267,59,100,100,104
628554,20272,59,100,100,104
629087,20281,59,100,100,104
629651,20286,59,100,100,104
630223,20288,59,100,100,104
630777,20296,59,100,100,104
631354,20303,59,100,100,104
631969,20320,59,100,100,104
632573,20318,59,100,100,104
633212,20327,59,100,100,104
633879,20337,59,100,100,104
634537,20347,59,100,100,104
635220,20371,59,100,100,104
635925,20381,59,100,100,104
636634,20377,59,100,100,104
637363,20390,59,100,100,104
638128,20400,59,100,100,104
638908,20408,59,100,100,104
639634,20414,59,100,100,104
640408,20418,59,100,100,104
641186,20421,59,100,100,104
641917,20409,59,100,100,104
642660,20417,59,100,100,104
643438,20412,59,100,100,104
644208,20407,59,100,100,104
645045,20406,59,100,100,104
645868,20393,59,100,100,104
646726,20400,59,100,100,104
647429,20403,59,100,100,104
647753,20405,59,100,100,104
647457,20404,59,100,100,104
646227,20415,59,100,100,104
644045,20407,59,100,100,104
640746,20406,59,100,100,104
636587,20418,59,100,100,104
632268,20405,59,100,100,104
628233,20397,59,100,100,104
624637,20406,59,100,100,104
621555,20401,59,100,100,104
619036,20395,59,100,100,104
616924,20394,59,100,100,104
615277,20392,59,100,100,104
614090,20388,59,100,100,104
613170,20389,59,100,100,104
612477,20380,59,100,100,104
611991,20377,59,100,100,104
611637,20372,59,100,100,104
611328,20373,59,100,100,104
611059,20377,59,100,100,104
610823,20388,59,100,100,104
610488,20382,59,100,100,104
610141,20375,59,100,100,104
609850,20387,59,100,100,104
609564,20387,59,100,100,104
609369,20376,59,100,100,104
609279,20381,59,100,100,104
609365,20372,59,100,100,104
609631,20375,59,100,100,104
610000,20374,59,100,100,104
610518,20370,59,100,100,98
611014,20373,59,100,100,98
611461,20362,59,100,100,98
611836,20360,59,100,100,98
612074,20363,59,100,100,98
612285,20350,59,100,100,98
612343,20350,59,100,100,98
612225,20341,59,100,100,98
612146,20338,59,100,100,98
612031,20336,59,100,100,98
611859,20331,59,100,100,98
611774,20339,59,100,100,98
611811,20340,59,100,100,98
611877,20338,59,100,100,98
612085,20344,59,100,100,98
612393,20346,59,100,100,98
612825,20346,59,100,100,98
613342,20354,59,100,100,98
613936,20351,59,100,100,98
614639,20362,59,100,100,98
615315,20367,59,100,100,98
616062,20370,59,100,100,98
616827,20368,59,100,100,98
617577,20360,59,100,100,98
618369,20349,59,100,100,98
619127,20349,59,100,100,98
619884,20340,59,100,100,98
620660,20331,59,100,100,98
621383,20337,59,100,100,98
622110,20319,59,100,100,98
622817,20310,59,100,100,98
623483,20304,59,100,100,98
624180,20300,59,100,100,98
624844,20294,59,100,100,98
625508,20290,59,100,100,98
626172,20278,59,100,100,98
626833,20285,59,100,100,98
627516,20285,59,100,100,98
628161,20272,59,100,100,98
628874,20258,59,100,100,98
629574,20260,59,100,100,98
630246,20250,59,100,100,98
630969,20242,59,100,100,98
631700,20243,59,100,100,98
632462,20234,59,100,100,98
633222,20230,59,100,100,98
634011,20235,59,100,100,98
634804,20233,59,100,100,98
635596,20226,59,100,100,98
636393,20224,59,100,100,98
637181,20224,59,100,100,98
638022,20217,59,100,100,98
638810,20216,59,100,100,98
639639,20209,59,100,100,98
640520,20205,59,100,100,98
641402,20208,59,100,100,98
642366,20197,59,100,100,98
643345,20187,59,100,100,98
644355,20195,59,100,100,98
645372,20185,59,100,100,98
646329,20180,59,100,100,98
647288,20186,59,100,100,98
648260,20174,59,100,100,98
649141,20161,59,100,100,98
650020,20166,59,100,100,98
650950,20161,59,100,100,98
651815,20145,59,100,100,98
652729,20145,59,100,100,98
653684,20136,59,100,100,98
654608,20136,59,100,100,98
655597,20144,59,100,100,98
656513,20143,59,100,100,98
657182,20142,59,100,100,98
657297,20149,59,100,100,98
656330,20142,59,100,100,98
654269,20145,59,100,100,98
651006,20138,59,100,100,98
646291,20140,59,100,100,98
640964,20146,59,100,100,98
635966,20145,59,100,100,98
631588,20143,59,100,100,98
627814,20137,59,100,100,98
624606,20136,59,100,100,98
621970,20123,59,100,100,98
619892,20127,59,100,100,98
618308,20125,59,100,100,98
617132,20115,59,100,100,98
616299,20107,59,100,100,98
615716,20112,59,100,100,98
615251,20103,59,100,100,98
614887,20110,59,100,100,98
614549,20104,59,100,100,98
614219,20108,59,100,100,98
613843,20107,59,100,100,98
613400,20108,59,100,100,98
613015,20103,59,100,100,98
612618,20111,59,100,100,98
612163,20105,59,100,100,98
611843,20105,59,100,100,98
611660,20103,59,100,100,98
611561,20098,59,100,100,98
611648,20094,59,100,100,98
611991,20098,59,100,100,98
612392,20090,59,100,100,103
612849,20094,59,100,100,103
613357,20092,59,100,100,103
613792,20085,59,100,100,103
614147,20088,59,100,100,103
614382,20084,59,100,100,103
614508,20082,59,100,100,103
614543,20075,59,100,100,103
614498,20074,59,100,100,103
614398,20069,59,100,100,103
614324,20062,59,100,100,103
614245,20061,59,100,100,103
614217,20042,59,100,100,103
614352,20045,59,100,100,103
614526,20042,59,100,100,103
