ir,resp,pr,spo2,spo2_real,rrInterval
559647,20048,73,98,98,71
559822,20047,73,98,98,71
559932,20047,73,98,98,71
560079,20043,73,98,98,71
560303,20043,73,98,98,71
560515,20047,73,98,98,71
560708,20043,73,98,98,71
560857,20051,73,98,98,71
560945,20048,73,98,99,68
560858,20044,73,98,99,68
560660,20048,73,98,99,68
560434,20044,73,98,99,68
560151,20043,73,98,99,68
559856,20055,73,98,99,68
559581,20050,73,98,99,68
559389,20053,73,98,99,68
559247,20058,73,98,99,68
559206,20046,73,98,99,68
559285,20047,73,98,99,68
559415,20054,73,98,99,68
559651,20053,73,98,99,68
560010,20050,73,98,99,68
560355,20053,73,98,99,68
560772,20054,73,98,99,68
561261,20049,73,98,99,68
561744,20055,73,98,99,68
562256,20050,73,98,99,68
562764,20047,73,98,99,68
563281,20054,73,98,99,68
563742,20049,73,98,99,68
564223,20054,73,98,99,68
564680,20061,73,98,99,68
565075,20056,73,98,99,68
565457,20050,73,98,99,68
565810,20058,73,98,99,68
566147,20050,73,98,99,68
566468,20036,73,98,99,68
566760,20048,73,98,99,68
567041,20042,73,98,99,68
567318,20032,73,98,99,68
567616,20041,73,98,99,68
567905,20035,73,98,99,68
568212,20033,73,98,99,68
568547,20044,73,98,99,68
568847,20040,73,98,99,68
569150,20040,73,98,99,68
569409,20048,73,98,99,68
569515,20040,73,98,99,68
569355,20037,73,98,99,68
568727,20050,73,98,99,68
567577,20049,73,98,99,68
565832,20046,73,98,99,68
563494,20051,73,98,99,68
560923,20044,73,98,99,68
558346,20043,73,98,99,68
555960,20051,73,98,99,68
553819,20045,73,98,99,68
552010,20051,73,98,99,68
550578,20055,73,98,99,68
549518,20051,73,98,99,68
548797,20055,73,98,99,68
548376,20052,73,98,99,68
548159,20051,73,98,99,68
548077,20045,73,98,99,68
548085,20054,73,98,99,68
548090,20048,73,98,99,68
548102,20045,73,98,99,68
548074,20048,73,98,99,68
548016,20043,73,98,99,68
547921,20039,73,98,99,68
547869,20048,73,98,99,68
547897,20038,73,98,99,68
547988,20038,73,98,99,68
548162,20041,73,98,99,68
548301,20039,73,98,99,68
548426,20040,73,98,99,68
548489,20037,73,98,98,68
548440,20037,73,98,98,68
548353,20033,73,98,98,68
548219,20040,73,98,98,68
548028,20039,73,98,98,68
547872,20046,73,98,98,68
547729,20042,73,98,98,68
547609,20047,73,98,98,68
547591,20047,73,98,98,68
547628,20042,73,98,98,68
547725,20044,73,98,98,68
547932,20052,73,98,98,68
548203,20044,73,98,98,68
548503,20049,73,98,98,68
548872,20051,73,98,98,68
549279,20049,73,98,98,68
549695,20049,73,98,98,68
550168,20052,73,98,98,68
550662,20052,73,98,98,68
551127,20048,73,98,98,68
551568,20049,73,98,98,68
552023,20044,73,98,98,68
552441,20046,73,98,98,68
552851,20050,73,98,98,68
553212,20047,73,98,98,68
553552,20044,73,98,98,68
553905,20056,73,98,98,68
554219,20060,73,98,98,68
554529,20041,73,98,98,68
554834,20059,73,98,98,68
555109,20052,73,98,98,68
555393,20048,73,98,98,68
555660,20054,73,98,98,68
555909,20055,73,98,98,68
556199,20055,73,98,98,68
556524,20053,73,98,98,68
556850,20042,73,98,98,68
557209,20042,73,98,98,68
557592,20050,73,98,98,68
557960,20049,73,98,98,68
558332,20042,73,98,98,68
558658,20053,73,98,98,68
558944,20050,73,98,98,68
558964,20048,73,98,98,68
558632,20054,73,98,98,68
557763,20054,73,98,98,68
556294,20050,73,98,98,68
554216,20059,73,98,98,68
551653,20057,73,98,98,68
548972,20042,73,98,98,68
546375,20056,73,98,98,68
544009,20053,73,98,98,68
541965,20057,73,98,98,68
540281,20059,73,98,98,68
539014,20057,73,98,98,68
538103,20057,73,98,98,68
537510,20057,73,98,98,68
537145,20062,73,98,98,68
536920,20061,73,98,98,68
536786,20067,73,98,98,68
536685,20060,73,98,98,68
536595,20057,73,98,98,68
536424,20065,73,98,98,68
536252,20063,73,98,98,68
536061,20056,73,98,98,68
535892,20065,73,98,98,68
535822,20053,73,98,98,68
535824,20056,73,98,98,68
535936,20056,73,98,98,68
536105,20050,73,98,98,68
536277,20057,73,98,98,68
536417,20045,73,98,98,68
536490,20054,73,98,98,72
536457,20049,73,98,98,72
536409,20043,73,98,98,72
536346,20044,73,98,98,72
536215,20043,73,98,98,72
536090,20047,73,98,98,72
535999,20044,73,98,98,72
535961,20050,73,98,98,72
535979,20046,73,98,98,72
536063,20048,73,98,98,72
536283,20053,73,98,98,72
536481,20046,73,98,98,72
536807,20048,73,98,98,72
537212,20054,73,98,98,72
537577,20051,73,98,98,72
538047,20056,73,98,98,72
538530,20056,73,98,98,72
539034,20047,73,98,98,72
539548,20049,73,98,98,72
540017,20048,73,98,98,72
540521,20048,73,98,98,72
540968,20049,73,98,98,72
541400,20051,73,98,98,72
541824,20051,73,98,98,72
542229,20050,73,98,98,72
542622,20050,73,98,98,72
542992,20049,73,98,98,72
543385,20052,73,98,98,72
543770,20047,73,98,98,72
544127,20047,73,98,98,72
544470,20051,73,98,98,72
544835,20050,73,98,98,72
545210,20052,73,98,98,72
545573,20054,73,98,98,72
545935,20062,73,98,98,72
546325,20057,73,98,98,72
546719,20055,73,98,98,72
547111,20063,73,98,98,72
547548,20052,73,98,98,72
547971,20050,73,98,98,72
548413,20059,73,98,98,72
548890,20051,73,98,98,72
549364,20045,73,98,98,72
549864,20053,73,98,98,72
550384,20057,73,98,98,72
550907,20055,73,98,98,72
551447,20051,73,98,98,72
551911,20053,73,98,98,72
552230,20056,73,98,98,72
552262,20062,73,98,98,72
551869,20061,73,98,98,72
550929,20055,73,98,98,72
549314,20065,73,98,98,72
547080,20067,73,98,98,72
544447,20064,73,98,98,72
541727,20070,73,98,98,72
539175,20070,73,98,98,72
536859,20066,73,98,98,72
534881,20067,73,98,98,72
533297,20069,73,98,98,72
532154,20067,73,98,98,72
531346,20071,73,98,98,72
530881,20073,73,98,98,72
530634,20069,73,98,98,72
530482,20071,73,98,98,72
530411,20067,73,98,98,72
530371,20067,73,98,98,72
530293,20067,73,98,98,72
530130,20067,73,98,98,72
529947,20060,73,98,98,72
529790,20074,73,98,98,72
529618,20066,73,98,98,72
529568,20062,73,98,98,72
529622,20068,73,98,98,72
529767,20057,73,98,98,72
529991,20059,73,98,98,72
530188,20057,73,98,98,72
530357,20055,73,98,98,72
530429,20054,73,98,98,78
530468,20058,73,98,98,78
530441,20050,73,98,98,78
530350,20050,73,98,98,78
530271,20052,73,98,98,78
530177,20050,73,98,98,78
530120,20056,73,98,98,78
530132,20049,73,98,98,78
530205,20048,73,98,98,78
530337,20054,73,98,98,78
530560,20049,73,98,98,78
530837,20049,73,98,98,78
531168,20050,73,98,98,78
531557,20050,73,98,98,78
532028,20049,73,98,98,78
532507,20049,73,98,98,78
532980,20044,73,98,98,78
533491,20048,73,98,98,78
534000,20047,73,98,98,78
534479,20041,73,98,98,78
534934,20037,73,98,98,78
535378,20048,73,98,98,78
535836,20043,73,98,98,78
536271,20039,73,98,98,78
536663,20040,73,98,98,78
537069,20037,73,98,98,78
537490,20038,73,98,98,78
537871,20042,73,98,98,78
538242,20035,73,98,98,78
538618,20035,73,98,98,78
539007,20044,73,98,98,78
539371,20034,73,98,98,78
539718,20027,73,98,98,78
540123,20038,73,98,98,78
540524,20036,73,98,98,78
540922,20027,73,98,98,78
541342,20035,73,98,98,78
541755,20028,73,98,98,78
542188,20035,73,98,98,78
542634,20026,73,98,98,78
543079,20035,73,98,98,78
543538,20030,73,98,98,78
544026,20039,73,98,98,78
544510,20036,73,98,98,78
545001,20022,73,98,98,78
545505,20031,73,98,98,78
546027,20028,73,98,98,78
546534,20017,73,98,98,78
547062,20028,73,98,98,78
547629,20031,73,98,98,78
548169,20017,73,98,98,78
548694,20025,73,98,98,78
549200,20027,73,98,98,78
549553,20029,73,98,98,78
549576,20032,73,98,98,78
549215,20032,73,98,98,78
548336,20032,73,98,98,78
546760,20034,73,98,98,78
544542,20032,73,98,98,78
541993,20035,73,98,98,78
539309,20038,73,98,98,78
536799,20032,73,98,98,78
534579,20032,73,98,98,78
532689,20028,73,98,98,78
531188,20028,73,98,98,78
530126,20033,73,98,98,78
529452,20037,73,98,98,78
529049,20031,73,98,98,78
528886,20033,73,98,98,78
528845,20035,73,98,98,78
528870,20033,73,98,98,78
528888,20039,73,98,98,78
528874,20040,73,98,98,78
528793,20037,73,98,98,78
528652,20035,73,98,98,78
528495,20040,73,98,98,78
528421,20035,73,98,98,78
528422,20034,73,98,98,78
528513,20040,73,98,98,78
528725,20031,73,98,98,78
528998,20034,73,98,98,78
529227,20035,73,98,98,78
529438,20037,73,98,98,78
529605,20038,73,98,98,83
529671,20042,73,98,98,83
529699,20026,73,98,98,83
529685,20037,73,98,98,83
529644,20035,73,98,98,83
529588,20030,73,98,98,83
529568,20033,73,98,98,83
529631,20033,73,98,98,83
529726,20035,73,98,98,83
529926,20035,73,98,98,83
530189,20035,73,98,98,83
530492,20045,73,98,98,83
530874,20039,73,98,98,83
531297,20035,73,98,98,83
531738,20038,73,98,98,83
532213,20047,73,98,98,83
532724,20040,73,98,98,83
533243,20044,73,98,98,83
533741,20047,73,98,98,83
534236,20041,73,98,98,83
534738,20042,73,98,98,83
535205,20042,73,98,98,83
535636,20033,73,98,98,83
536091,20035,73,98,98,83
536530,20039,73,98,98,83
536942,20040,73,98,98,83
537353,20030,73,98,98,83
537740,20038,73,98,98,83
538160,20035,73,98,98,83
538593,20022,73,98,98,83
538956,20041,73,98,98,83
539353,20038,73,98,98,83
539805,20027,73,98,98,83
540196,20034,73,98,98,83
540603,20038,73,98,98,83
541060,20028,73,98,98,83
541487,20038,73,98,98,83
541944,20034,73,98,98,83
542440,20029,73,98,98,83
542906,20036,73,98,98,83
543398,20030,73,98,98,83
543913,20034,73,98,98,83
544398,20032,73,98,98,83
544950,20029,73,98,98,83
545479,20018,73,98,98,83
546007,20030,73,98,98,83
546529,20034,73,98,98,83
547058,20024,73,98,98,83
547622,20029,73,98,98,83
548140,20025,73,98,98,83
548695,20025,73,98,98,83
549231,20028,73,98,98,83
549797,20024,73,98,98,83
550332,20022,73,98,98,83
550855,20024,73,98,98,83
551417,20025,73,98,98,83
551947,20018,73,98,98,83
552398,20023,73,98,98,83
552706,20020,73,98,98,83
552686,20013,73,98,98,83
552222,20023,73,98,98,83
551217,20016,73,98,98,83
549552,20003,73,98,98,83
547400,20004,73,98,98,83
545017,19995,73,98,98,83
542593,19990,73,98,98,83
540435,19997,73,98,98,83
538513,19988,73,98,98,83
536957,19983,73,98,98,83
535815,19985,73,98,98,83
534967,19973,73,98,98,83
534479,19977,73,98,98,83
534250,19968,73,98,98,83
534206,19969,73,98,98,83
534342,19981,73,98,98,83
534495,19972,73,98,98,83
534673,19966,73,98,98,83
534868,19971,73,98,98,83
534967,19960,73,98,98,83
535107,19955,73,98,98,83
535256,19961,73,98,98,83
535371,19950,73,98,98,83
535606,19946,73,98,98,83
535933,19946,73,98,98,83
536271,19944,73,98,98,83
536651,19947,73,98,98,83
537011,19945,73,98,98,83
537277,19940,73,98,99,87
537494,19941,73,98,99,87
537656,19941,73,98,99,87
537766,19930,73,98,99,87
537859,19933,73,98,99,87
537938,19941,73,98,99,87
538006,19927,73,98,99,87
538168,19936,73,98,99,87
538355,19937,73,98,99,87
538591,19935,73,98,99,87
538906,19933,73,98,99,87
539314,19938,73,98,99,87
539744,19932,73,98,99,87
540219,19927,73,98,99,87
540780,19930,73,98,99,87
541331,19930,73,98,99,87
541924,19916,73,98,99,87
542552,19923,73,98,99,87
543118,19923,73,98,99,87
543701,19920,73,98,99,87
544295,19919,73,98,99,87
544826,19919,73,98,99,87
545387,19917,73,98,99,87
545922,19916,73,98,99,87
546450,19913,73,98,99,87
546984,19906,73,98,99,87
547456,19908,73,98,99,87
547975,19913,73,98,99,87
548433,19895,73,98,99,87
548890,19901,73,98,99,87
549366,19893,73,98,99,87
549819,19900,73,98,99,87
550276,19896,73,98,99,87
550757,19890,73,98,99,87
551214,19892,73,98,99,87
551684,19897,73,98,99,87
552177,19895,73,98,99,87
552652,19888,73,98,99,87
553162,19899,73,98,99,87
553677,19901,73,98,99,87
554205,19879,73,98,99,87
554733,19899,73,98,99,87
555235,19892,73,98,99,87
555781,19893,73,98,99,87
556309,19902,73,98,99,87
556876,19884,73,98,99,87
557445,19884,73,98,99,87
557993,19885,73,98,99,87
558605,19880,73,98,99,87
559183,19879,73,98,99,87
559749,19879,73,98,99,87
560375,19883,73,98,99,87
560940,19882,73,98,99,87
561517,19891,73,98,99,87
562136,19888,73,98,99,87
562703,19885,73,98,99,87
563209,19891,73,98,99,87
563575,19885,73,98,99,87
563688,19882,73,98,99,87
563428,19884,73,98,99,87
562603,19875,73,98,99,87
561246,19871,73,98,99,87
559371,19871,73,98,99,87
557194,19873,73,98,99,87
555052,19874,73,98,99,87
553070,19868,73,98,99,87
551372,19861,73,98,99,87
549994,19868,73,98,99,87
548934,19859,73,98,99,87
548221,19865,73,98,99,87
547853,19869,73,98,99,87
547676,19858,73,98,99,87
547682,19860,73,98,99,87
547834,19862,73,98,99,87
548044,19865,73,98,99,87
548258,19852,73,98,99,87
548409,19866,73,98,99,87
548567,19856,73,98,99,87
548665,19851,73,98,99,87
548754,19865,73,98,99,87
548904,19864,73,98,99,87
549072,19865,73,98,99,87
549284,19871,73,98,99,87
549533,19873,73,98,99,87
549784,19879,73,98,99,87
549901,19873,73,98,99,87
549928,19865,74,98,99,86
549899,19873,74,98,99,86
549740,19877,74,98,99,86
549598,19870,74,98,99,86
549443,19867,74,98,99,86
549242,19880,74,98,99,86
549121,19880,74,98,99,86
549079,19878,74,98,99,86
549055,19891,74,98,99,86
549144,19890,74,98,99,86
549331,19882,74,98,99,86
549528,19893,74,98,99,86
549815,19888,74,98,99,86
550189,19892,74,98,99,86
550555,19900,74,98,99,86
550960,19897,74,98,99,86
551392,19899,74,98,99,86
551799,19908,74,98,99,86
552204,19912,74,98,99,86
552671,19913,74,98,99,86
553106,19924,74,98,99,86
553499,19926,74,98,99,86
553923,19934,74,98,99,86
554304,19943,74,98,99,86
554694,19939,74,98,99,86
555028,19956,74,98,99,86
555320,19952,74,98,99,86
555682,19968,74,98,99,86
556005,19976,74,98,99,86
556276,19989,74,98,99,86
556558,19988,74,98,99,86
556867,19993,74,98,99,86
557133,20005,74,98,99,86
557387,20004,74,98,99,86
557692,20007,74,98,99,86
557978,20018,74,98,99,86
558265,20024,74,98,99,86
558636,20015,74,98,99,86
558986,20032,74,98,99,86
559330,20029,74,98,99,86
559757,20027,74,98,99,86
560176,20032,74,98,99,86
560574,20030,74,98,99,86
561009,20034,74,98,99,86
561440,20024,74,98,99,86
561803,20023,74,98,99,86
562086,20029,74,98,99,86
562155,20030,74,98,99,86
561852,20032,74,98,99,86
561185,20039,74,98,99,86
560035,20029,74,98,99,86
558477,20037,74,98,99,86
556736,20035,74,98,99,86
554980,20036,74,98,99,86
553439,20042,74,98,99,86
552101,20040,74,98,99,86
551016,20038,74,98,99,86
550257,20040,74,98,99,86
549754,20049,74,98,99,86
549514,20048,74,98,99,86
549523,20044,74,98,99,86
549662,20046,74,98,99,86
549883,20042,74,98,99,86
550201,20039,74,98,99,86
550532,20045,74,98,99,86
550870,20043,74,98,99,86
551214,20043,74,98,99,86
551534,20047,74,98,99,86
551932,20041,74,98,99,86
552334,20043,74,98,99,86
552748,20049,74,98,99,86
553163,20044,74,98,99,86
553481,20032,74,98,99,86
553693,20047,74,98,99,86
553753,20036,74,98,99,74
553735,20035,74,98,99,74
553598,20043,74,98,99,74
553441,20038,74,98,99,74
553262,20031,74,98,99,74
553095,20040,74,98,99,74
552984,20041,74,98,99,74
552912,20037,74,98,99,74
552971,20044,74,98,99,74
553095,20045,74,98,99,74
553312,20037,74,98,99,74
