ir,resp,pr,spo2,spo2_real,rrInterval
361080,20106,64,98,99,86
360956,20117,64,98,99,86
361034,20115,64,98,99,86
361280,20113,64,98,99,86
361654,20132,64,98,99,86
362204,20119,64,98,99,86
362885,20119,64,98,99,86
363675,20126,64,98,99,86
364563,20125,64,98,99,86
365525,20123,64,98,99,86
366558,20122,64,98,99,86
367618,20124,64,98,99,86
368693,20123,64,98,99,86
369758,20127,64,98,99,86
370771,20123,64,98,99,86
371795,20125,64,98,99,86
372695,20133,64,98,99,86
373596,20161,64,98,99,86
374430,20204,64,98,99,86
375226,20359,64,98,99,86
375969,20482,64,98,99,86
376676,20415,64,98,99,86
377360,20421,64,98,99,86
378006,20284,64,98,99,86
378596,20405,64,98,99,86
379212,20344,64,98,99,86
379780,20302,64,98,99,86
380332,20309,64,98,99,86
380854,20257,64,98,99,86
381377,20378,64,98,99,86
381873,20370,64,98,99,86
382414,20410,64,98,99,86
382934,20367,64,98,99,86
383429,20379,64,98,99,86
383915,20320,64,98,99,86
384416,20263,64,98,99,86
384886,20220,64,98,99,86
385364,20165,64,98,99,86
385851,20165,64,98,99,86
386309,20164,64,98,99,86
386837,20166,64,98,99,86
387388,20162,64,98,99,86
387982,20223,64,98,99,86
388652,20262,64,98,99,86
389365,20213,64,98,99,86
390095,20207,64,98,99,86
390855,20277,64,98,99,86
391448,20220,64,98,99,86
391687,20186,64,98,99,86
391193,20181,64,98,99,86
389554,20183,64,98,99,86
386540,20177,64,98,99,86
382116,20171,64,98,99,86
376630,20181,64,98,99,86
370682,20189,64,98,99,86
365317,20178,64,98,99,86
361472,20168,64,98,99,86
358911,20172,64,98,99,86
357201,20168,64,98,99,86
356119,20170,64,98,99,86
355466,20169,64,98,99,86
355165,20159,64,98,99,86
355129,20155,64,98,99,86
355314,20160,64,98,99,86
355614,20153,64,98,99,86
355976,20147,64,98,99,86
356340,20164,64,98,99,86
356721,20152,64,98,99,86
357008,20243,64,98,99,86
357276,20153,64,98,99,86
357456,20159,64,98,99,86
357589,20147,64,98,99,86
357695,20151,64,98,99,86
357879,20143,64,98,99,86
358086,20139,64,98,99,86
358408,20150,64,98,99,88
358855,20146,64,98,99,88
359429,20144,64,98,99,88
360057,20152,64,98,99,88
360701,20140,64,98,99,88
361268,20137,64,98,99,88
361740,20141,64,98,99,88
362015,20137,64,98,99,88
362181,20123,64,98,99,88
362181,20130,64,98,99,88
362058,20127,64,98,99,88
361885,20122,64,98,99,88
361665,20122,64,98,99,88
361480,20124,64,98,99,88
361355,20124,64,98,99,88
361339,20132,64,98,99,88
361462,20126,64,98,99,88
361713,20124,64,98,99,88
362131,20128,64,98,99,88
362657,20119,64,98,99,88
363325,20115,64,98,99,88
364104,20127,64,98,99,88
364977,20116,64,98,99,88
365949,20113,64,98,99,88
366977,20116,64,98,99,88
368035,20216,64,98,99,88
369105,20110,64,98,99,88
370159,20129,64,98,99,88
371223,20113,64,98,99,88
372246,20110,64,98,99,88
373200,20105,64,98,99,88
374139,20106,64,98,99,88
375024,20109,64,98,99,88
375853,20106,64,98,99,88
376628,20097,64,98,99,88
377388,20102,64,98,99,88
378129,20094,64,98,99,88
378816,20090,64,98,99,88
379496,20087,64,98,99,88
380136,20087,64,98,99,88
380769,20086,64,98,99,88
381386,20090,64,98,99,88
381946,20087,64,98,99,88
382487,20085,64,98,99,88
383054,20081,64,98,99,88
383596,20078,64,98,99,88
384128,20071,64,98,99,88
384694,20077,64,98,99,88
385270,20075,64,98,99,88
385857,20067,64,98,99,88
386437,20069,64,98,99,88
387035,20062,64,98,99,88
387706,20066,64,98,99,88
388336,20063,64,98,99,88
389012,20058,64,98,99,88
389713,20060,64,98,99,88
390400,20060,64,98,99,88
391141,20059,64,98,99,88
391898,20056,64,98,99,88
392633,20059,64,98,99,88
393370,20043,64,98,99,88
394080,20040,64,98,99,88
394777,20047,64,98,99,88
395455,20033,64,98,99,88
396102,20025,64,98,99,88
396766,20030,64,98,99,88
397436,20022,64,98,99,88
398062,20014,64,98,99,88
398737,20025,64,98,99,88
399421,20024,64,98,99,88
400119,20021,64,98,99,88
400761,20026,64,98,99,88
401238,20032,64,98,99,88
401307,20034,64,98,99,88
400518,20047,64,98,99,88
398416,20045,64,98,99,88
394722,20042,64,98,99,88
389425,20057,64,98,99,88
382888,20055,64,98,99,88
375889,20043,64,98,99,88
369663,20052,64,98,99,88
365196,20047,64,98,99,88
