f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
5153,620640.7783,645232.235,0.961887433,96.75,71.25,1.357894737,3.939648885,9.3641604,0.420715656,96.8301778,71.86271634,1.347432754,3,19,19,1,1.664100589,2.656844657,0.626344707,20962.68284,8780.279694,2.387473244,1972.667856,1487.535862,1.326131293
5115,518236.4242,553676.3633,0.935991598,95.83333333,81.78571429,1.171761281,2.44381305,15.08631628,0.161988719,95.86448769,83.16549765,1.152695413,5,21.69230769,22.73333333,0.954207083,2.671346978,3.991101213,0.669325791,15661.82964,9544.731423,1.640887411,1655.17681,2517.878373,0.657369644
5692,363852.935,362877.0125,1.002689403,101.2727273,79.57142857,1.272727273,4.350358587,11.48112915,0.378913827,101.3661231,80.39545119,1.26084401,3,17.75,21.13333333,0.839905363,1.010362971,3.964284999,0.254866381,5192.300183,3132.365602,1.657629039,566.9783293,753.9353102,0.752025169
5979,460496.0417,495592.995,0.929181902,102,87.61538462,1.164179104,3.516196292,14.83518926,0.237017286,102.0605881,88.86246936,1.148522979,3,20.83333333,21.92857143,0.950054289,4.038013813,4.447540022,0.907920737,9836.29968,5369.190518,1.831989319,398.9740878,1599.838251,0.249384016
6936,685685.8517,730467.9083,0.938694012,98.90909091,78.5,1.259988419,3.423303706,11.45020274,0.298973196,98.96831449,79.33068223,1.247541452,2,19.66666667,18.8,1.046099291,3.064129385,4.230051221,0.724371698,10459.11351,5061.653419,2.066343276,970.3531411,1706.571611,0.568597963
4712,314407.655,328679.9625,0.956576886,89.53846154,67.29411765,1.330554061,3.629269573,8.115089111,0.447224858,89.61198409,67.78165638,1.322068372,2,19.35714286,18.77777778,1.030853762,1.394230093,3.4084137,0.409055419,15924.4032,6968.973798,2.285042771,1288.628223,1813.06193,0.710746942
4994,404166.215,409953.6092,0.985882807,87.15384615,70.0625,1.243944281,2.444653628,8.713988395,0.280543595,87.18812551,70.60231937,1.234918715,3,18.92857143,19.17647059,0.987072743,0.883522634,4.105022664,0.21522966,8843.665059,5815.091227,1.520812781,560.4191039,1675.225791,0.334533474
4871,663523.7008,679683.4833,0.976224547,79.78571429,75.26666667,1.060040491,3.426338559,11.43367346,0.299670842,79.85925119,76.13015171,1.048983213,4,15.26666667,20.875,0.731337325,13.18315423,4.385701198,3.005939903,21404.43605,12004.43475,1.783044058,2333.514584,3575.403299,0.652657725
4805,350340.2075,381925.9067,0.917298883,83.14285714,61.94444444,1.342216528,3.997448166,2.14663101,1.862196226,83.23889887,61.9816281,1.342960832,0,22.4,16,1.4,6.97423831,2,3.487119155,9867.231274,4990.441641,1.977226062,2027.580887,835.9111731,2.425593714
5016,427123.3392,442418.1042,0.965429161,76.8,72.0625,1.065741544,4.384822307,11.64833008,0.376433555,76.92507177,72.99785956,1.053799005,3,18.4375,18.58823529,0.991890823,0.998044964,3.789440802,0.263375262,13196.18211,7046.935092,1.872612978,1320.472394,2855.538219,0.462425046
5076,606456.5683,585493.7983,1.035803573,92.16666667,84.53846154,1.090233546,2.793842436,5.746107507,0.486214787,92.20900173,84.73351893,1.088223443,2,21.76923077,22.92857143,0.949436856,2.224128045,2.914600823,0.763098681,33506.95384,14985.0072,2.236031882,4517.831904,816.5977206,5.532506141
5061,663146.6158,691219.0983,0.959386998,89.69230769,79.42857143,1.129219701,4.905014944,10.52693339,0.465949082,89.82632816,80.12311955,1.12110373,4,18.57142857,22.6,0.821744627,1.953542047,4.393935214,0.444599647,28454.68998,16231.01198,1.753106338,3583.770751,5242.293323,0.683626522
